time	V(vo)
0.000000000000000e+000	4.999985e+000
4.599999954748910e-008	4.999985e+000
5.599999954748910e-008	4.999985e+000
6.599999954748909e-008	4.999985e+000
7.599999954748909e-008	4.999985e+000
8.599999954748909e-008	4.999985e+000
9.105399371317952e-008	4.999985e+000
9.418048834577396e-008	4.999985e+000
9.622622783431982e-008	4.999985e+000
9.781936505646446e-008	4.999985e+000
9.933768972679056e-008	4.999985e+000
1.011072820303245e-007	4.999985e+000
1.028145893023666e-007	4.999985e+000
1.054825092793650e-007	4.999985e+000
1.084032281193699e-007	4.999978e+000
1.116194831426385e-007	4.999943e+000
1.158963818570490e-007	4.997064e+000
1.224988500692089e-007	4.362354e+000
1.316181653301002e-007	2.445731e+000
1.441644568933040e-007	5.431386e-001
1.584766656134466e-007	1.400320e-002
1.723744117786061e-007	1.359927e-002
1.952407689381999e-007	1.359927e-002
2.141195201876830e-007	1.359927e-002
2.347348194161998e-007	1.359927e-002
2.707228099755987e-007	1.359927e-002
3.077924070471666e-007	1.359927e-002
3.720393769831751e-007	1.359927e-002
4.391358142977474e-007	1.359927e-002
5.457265258628834e-007	1.359927e-002
6.757227088109239e-007	1.359927e-002
9.357150747070048e-007	1.359927e-002
3.223661503278434e-006	1.359927e-002
5.511607931849862e-006	1.359927e-002
7.799554360421291e-006	1.359927e-002
1.008750078899272e-005	1.359927e-002
1.237544721756415e-005	1.359927e-002
1.466339364613558e-005	1.359927e-002
1.695134007470700e-005	1.359927e-002
1.923928650327843e-005	1.359927e-002
2.152723293184986e-005	1.359927e-002
2.381517936042130e-005	1.359927e-002
2.610312578899273e-005	1.359927e-002
2.839107221756416e-005	1.359927e-002
3.067901864613560e-005	1.359927e-002
3.296696507470702e-005	1.359927e-002
3.531071507470701e-005	1.359927e-002
3.765446507470699e-005	1.359927e-002
3.999821507470698e-005	1.359927e-002
4.234196507470696e-005	1.359927e-002
4.468571507470695e-005	1.359927e-002
4.702946507470694e-005	1.359927e-002
4.937321507470692e-005	1.359927e-002
5.069761570947254e-005	1.359927e-002
5.202201634423816e-005	1.359927e-002
5.334641697900378e-005	1.359927e-002
5.467081761376939e-005	1.359927e-002
5.599521824853501e-005	1.359927e-002
5.731961888330063e-005	1.359927e-002
5.864401951806624e-005	1.359927e-002
