time	V(sin32)	V(vout)
0.000000000000000e+000	2.858692e+000	1.512536e+000
1.006490561789985e-006	2.828521e+000	1.497433e+000
1.775157928991583e-006	2.789748e+000	1.485624e+000
1.775158928991579e-006	2.789748e+000	1.485624e+000
1.775160928991571e-006	2.789748e+000	1.485624e+000
1.775164928991555e-006	2.789748e+000	1.485624e+000
1.775167928991543e-006	2.789747e+000	1.485623e+000
1.775168170308275e-006	2.789747e+000	1.485623e+000
1.775168652941740e-006	2.789747e+000	1.485623e+000
1.775169618208885e-006	2.789747e+000	1.485623e+000
1.775171548742960e-006	2.789747e+000	1.485623e+000
1.775175409811326e-006	2.789747e+000	1.485623e+000
1.775183131947841e-006	2.789747e+000	1.485623e+000
1.775198576221089e-006	2.789746e+000	1.485623e+000
1.775229464767584e-006	2.789744e+000	1.485623e+000
1.775265638946904e-006	2.789742e+000	1.485622e+000
1.775311659698350e-006	2.789740e+000	1.485621e+000
1.775367745894150e-006	2.789737e+000	1.485620e+000
1.775458990040503e-006	2.789733e+000	1.485619e+000
1.775557725850613e-006	2.789728e+000	1.485618e+000
1.775660949476657e-006	2.789723e+000	1.485616e+000
1.775733025031600e-006	2.789719e+000	1.485615e+000
1.775813085997269e-006	2.789715e+000	1.485613e+000
1.775844308589056e-006	2.789713e+000	1.485613e+000
1.775873828466917e-006	2.789712e+000	1.485613e+000
1.775905866854702e-006	2.789710e+000	1.485612e+000
1.775969943630272e-006	2.789707e+000	1.485611e+000
1.776002858042136e-006	2.789705e+000	1.485611e+000
1.776038761454107e-006	2.789704e+000	1.485610e+000
1.776074435239214e-006	2.789702e+000	1.485609e+000
1.776145782809643e-006	2.789698e+000	1.485608e+000
1.776288477950286e-006	2.789691e+000	1.485606e+000
1.776345701540736e-006	2.789688e+000	1.485605e+000
1.776430434368261e-006	2.789684e+000	1.485604e+000
1.776460721547276e-006	2.789682e+000	1.485603e+000
1.776500720975741e-006	2.789680e+000	1.485603e+000
1.776524586731467e-006	2.789679e+000	1.485602e+000
1.776558756995958e-006	2.789677e+000	1.485602e+000
1.776627097524724e-006	2.789674e+000	1.485601e+000
1.776763778582472e-006	2.789667e+000	1.485599e+000
1.776919669378404e-006	2.789659e+000	1.485596e+000
1.777063829330825e-006	2.789652e+000	1.485594e+000
1.777196673565353e-006	2.789645e+000	1.485592e+000
1.777372904078175e-006	2.789636e+000	1.485589e+000
1.777528241618748e-006	2.789629e+000	1.485587e+000
1.777711032488645e-006	2.789619e+000	1.485584e+000
1.777947273289005e-006	2.789607e+000	1.485580e+000
1.778316529426607e-006	2.789589e+000	1.485575e+000
1.778653808733738e-006	2.789572e+000	1.485569e+000
1.779073847877613e-006	2.789551e+000	1.485563e+000
1.779518119483878e-006	2.789528e+000	1.485556e+000
1.780187038225673e-006	2.789494e+000	1.485546e+000
