time	V(vin)	V(vout)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.124999980258129e-13	5.000000e+00	-4.981309e-01
1.363897201969772e-13	5.000000e+00	-6.244272e-02
1.398135829605614e-13	5.000000e+00	-9.941506e-08
1.877476616507398e-13	5.000000e+00	-9.940575e-08
2.425294658680865e-13	5.000000e+00	-9.939510e-08
3.520930743027801e-13	5.000000e+00	-9.937381e-08
5.118289561869127e-13	5.000000e+00	-9.934276e-08
6.816244508435005e-13	5.000000e+00	-9.930977e-08
8.875832514759830e-13	5.000000e+00	-9.926973e-08
1.121495561212773e-12	5.000000e+00	-9.922427e-08
1.428827483883201e-12	5.000000e+00	-9.916455e-08
1.809717975243506e-12	5.000000e+00	-9.909051e-08
2.349338213531215e-12	5.000000e+00	-9.898564e-08
3.119952068693715e-12	5.000000e+00	-9.883587e-08
4.282656836950138e-12	5.000000e+00	-9.860990e-08
4.824069732348557e-12	5.000000e+00	-9.850468e-08
5.545953592879782e-12	5.000000e+00	-9.836437e-08
6.989721313942232e-12	5.000000e+00	-9.808378e-08
9.877256756067131e-12	5.000000e+00	-9.752259e-08
9.999999999999999e-12	5.000000e+00	-9.749874e-08
1.007306627714555e-11	5.000000e+00	-9.748454e-08
1.021919883143665e-11	5.000000e+00	-9.745614e-08
1.109599415718326e-11	5.000000e+00	-9.728574e-08
1.226505459151208e-11	5.000000e+00	-9.705854e-08
1.460317546016970e-11	5.000000e+00	-9.660413e-08
1.837855785856451e-11	5.000000e+00	-9.587041e-08
2.238889031318662e-11	5.000000e+00	-9.509105e-08
2.777335525036263e-11	5.000000e+00	-9.404464e-08
3.439206000314593e-11	5.000000e+00	-9.275840e-08
4.050936228076656e-11	5.000000e+00	-9.156961e-08
4.868021483862859e-11	5.000000e+00	-8.998180e-08
5.956010999532512e-11	5.000000e+00	-8.786761e-08
7.186291998451856e-11	5.000000e+00	-8.547701e-08
8.735265669997318e-11	5.000000e+00	-8.246727e-08
1.090964064000691e-10	5.000000e+00	-7.824254e-08
1.217908893885371e-10	5.000000e+00	-7.577617e-08
1.360306604222688e-10	5.000000e+00	-7.300971e-08
1.519852150732249e-10	5.000000e+00	-6.991026e-08
1.749670119107217e-10	5.000000e+00	-6.544597e-08
2.160382352528323e-10	5.000000e+00	-5.746849e-08
2.582458628765859e-10	5.000000e+00	-4.927145e-08
3.324380514653242e-10	5.000000e+00	-3.486525e-08
3.938276621684212e-10	5.000000e+00	-2.294719e-08
4.481483007186083e-10	5.000000e+00	-1.240358e-08
5.042258884920680e-10	5.000000e+00	-1.521193e-09
5.827241826516950e-10	5.000000e+00	1.370869e-08
6.655232147211795e-10	5.000000e+00	2.976910e-08
7.346073420968272e-10	5.000000e+00	4.316566e-08
8.143709304403605e-10	5.000000e+00	5.862893e-08
8.955157631331726e-10	5.000000e+00	7.435555e-08
9.813184757738279e-10	5.000000e+00	9.097984e-08
1.071742660899446e-09	5.000000e+00	1.084940e-07
1.158993812383515e-09	5.000000e+00	1.253879e-07
1.251340348711041e-09	5.000000e+00	1.432622e-07
1.348231286085672e-09	5.000000e+00	1.620094e-07
1.443614234871709e-09	5.000000e+00	1.804578e-07
1.537627621310438e-09	5.000000e+00	1.986334e-07
1.688341770687659e-09	5.000000e+00	2.277550e-07
1.880210641658910e-09	5.000000e+00	2.647962e-07
2.263948383601413e-09	5.000000e+00	3.387922e-07
2.593592909147127e-09	5.000000e+00	4.022736e-07
2.838935272192194e-09	5.000000e+00	4.494493e-07
3.143811076792591e-09	5.000000e+00	5.079871e-07
3.429721597044687e-09	5.000000e+00	5.627861e-07
3.943241099937119e-09	5.000000e+00	6.609969e-07
4.415781491076527e-09	5.000000e+00	7.511378e-07
4.929864532871998e-09	5.000000e+00	8.489091e-07
5.416424889331953e-09	5.000000e+00	9.410886e-07
6.332337946201534e-09	5.000000e+00	1.113508e-06
8.024220758980577e-09	5.000000e+00	1.429095e-06
9.703613664233557e-09	5.000000e+00	1.738015e-06
1.195272430212301e-08	5.000000e+00	2.143976e-06
1.431626274567797e-08	5.000000e+00	2.559607e-06
1.769179608291896e-08	5.000000e+00	3.132038e-06
2.163839329493190e-08	5.000000e+00	3.765566e-06
2.768613859420251e-08	5.000000e+00	4.663701e-06
3.392491101371225e-08	5.000000e+00	5.491408e-06
4.240030221066078e-08	5.000000e+00	6.441175e-06
5.370893060540543e-08	5.000000e+00	7.415943e-06
7.076441551775218e-08	4.999999e+00	8.395014e-06
8.937187611157822e-08	4.999998e+00	8.966234e-06
1.088343756973019e-07	4.999997e+00	9.180735e-06
1.213761514934827e-07	4.999997e+00	9.178816e-06
1.377271055351544e-07	4.999996e+00	9.094154e-06
1.456156352855822e-07	4.999995e+00	9.043648e-06
1.526919688897479e-07	4.999995e+00	8.998207e-06
1.608524837674550e-07	4.999994e+00	8.951449e-06
1.693694181493448e-07	4.999994e+00	8.912460e-06
1.827691318054153e-07	4.999992e+00	8.874095e-06
2.022543692020740e-07	4.999991e+00	8.859122e-06
2.239132639448671e-07	4.999989e+00	8.886301e-06
2.399136172680593e-07	4.999987e+00	8.931317e-06
2.538430384766326e-07	4.999986e+00	8.983682e-06
2.671086906335368e-07	4.999984e+00	9.039419e-06
2.782418695939540e-07	4.999983e+00	9.088378e-06
