time	V(vin)	V(vout)
0.000000000000000e+000	5.000000e+000	-9.097891e-001
1.428571428571309e-007	4.995714e+000	-9.071338e-001
2.857142857142618e-007	4.991429e+000	-9.044836e-001
4.285714285713927e-007	4.987143e+000	-9.018384e-001
5.714285714285235e-007	4.982857e+000	-8.991983e-001
7.142857142856544e-007	4.978571e+000	-8.965633e-001
8.571428571427854e-007	4.974286e+000	-8.939333e-001
9.999999999999159e-007	4.970000e+000	-8.913085e-001
2.000000000000049e-006	4.940000e+000	-8.730893e-001
2.999999999999965e-006	4.910000e+000	-8.551422e-001
3.999999999999880e-006	4.880000e+000	-8.374761e-001
5.000000000000013e-006	4.850000e+000	-8.201010e-001
5.882352941177609e-006	4.823529e+000	-8.050174e-001
5.882353941177605e-006	4.823529e+000	-8.050174e-001
5.882355941177597e-006	4.823529e+000	-8.050173e-001
5.882359941177581e-006	4.823529e+000	-8.050172e-001
5.882362941177569e-006	4.823529e+000	-8.050172e-001
5.882363109850153e-006	4.823529e+000	-8.050172e-001
5.882363447195539e-006	4.823529e+000	-8.050172e-001
5.882364121886311e-006	4.823529e+000	-8.050172e-001
5.882365471267638e-006	4.823529e+000	-8.050171e-001
5.882368170030509e-006	4.823529e+000	-8.050171e-001
5.882373567556035e-006	4.823529e+000	-8.050170e-001
5.882384362607303e-006	4.823528e+000	-8.050168e-001
5.882398475943887e-006	4.823528e+000	-8.050166e-001
5.882412779611513e-006	4.823528e+000	-8.050163e-001
5.882422620483120e-006	4.823527e+000	-8.050162e-001
5.882434180002087e-006	4.823527e+000	-8.050160e-001
5.882443073793823e-006	4.823527e+000	-8.050158e-001
5.882452573395449e-006	4.823526e+000	-8.050157e-001
5.882471572598918e-006	4.823526e+000	-8.050153e-001
5.882498657283240e-006	4.823525e+000	-8.050148e-001
5.882525547056200e-006	4.823524e+000	-8.050144e-001
5.882569406077433e-006	4.823523e+000	-8.050137e-001
5.882617154948479e-006	4.823522e+000	-8.050129e-001
5.882635902266196e-006	4.823521e+000	-8.050125e-001
5.882648201668795e-006	4.823521e+000	-8.050123e-001
5.882658668068461e-006	4.823520e+000	-8.050122e-001
5.882669525307830e-006	4.823520e+000	-8.050120e-001
5.882688987671842e-006	4.823519e+000	-8.050116e-001
5.882724741603559e-006	4.823518e+000	-8.050110e-001
5.882762129528346e-006	4.823517e+000	-8.050104e-001
5.882836110748585e-006	4.823515e+000	-8.050091e-001
5.882910222802535e-006	4.823513e+000	-8.050079e-001
5.882982979172474e-006	4.823511e+000	-8.050067e-001
5.883046936944929e-006	4.823509e+000	-8.050056e-001
5.883107348282754e-006	4.823507e+000	-8.050045e-001
5.883168293847755e-006	4.823505e+000	-8.050035e-001
5.883229347952886e-006	4.823503e+000	-8.050025e-001
5.883310248589986e-006	4.823501e+000	-8.050011e-001
