time	V(sin32)	V(vout)
0.000000000000000e+000	-3.977968e+000	3.692145e+000
4.779529189294959e-007	-3.980965e+000	3.715490e+000
9.559058378589917e-007	-3.983689e+000	3.738504e+000
1.433858756788488e-006	-3.986141e+000	3.761185e+000
1.911811675717983e-006	-3.988321e+000	3.783535e+000
2.389764594647479e-006	-3.990230e+000	3.805554e+000
2.867717513576975e-006	-3.991866e+000	3.827241e+000
3.345670432506470e-006	-3.993229e+000	3.848596e+000
4.051384454205158e-006	-3.995362e+000	3.879493e+000
4.335971240684632e-006	-3.996119e+000	3.891717e+000
4.620558027164107e-006	-3.996792e+000	3.903809e+000
4.905144813643580e-006	-3.997381e+000	3.915769e+000
5.189731600123055e-006	-3.997886e+000	3.927596e+000
5.474318386602529e-006	-3.998306e+000	3.939291e+000
5.758905173082003e-006	-3.998642e+000	3.950854e+000
6.043491959561477e-006	-3.998894e+000	3.962285e+000
6.666666666666973e-006	-3.999523e+000	3.986816e+000
6.874651112935361e-006	-3.999699e+000	3.994849e+000
7.082635559203748e-006	-3.999827e+000	4.002807e+000
7.290620005472137e-006	-3.999907e+000	4.010690e+000
7.498604451740524e-006	-3.999941e+000	4.018497e+000
7.706588898008912e-006	-3.999926e+000	4.026228e+000
7.914573344277300e-006	-3.999864e+000	4.033884e+000
8.122557790545687e-006	-3.999755e+000	4.041465e+000
8.999999999999894e-006	-3.998945e+000	4.072568e+000
1.000000000000003e-005	-3.996792e+000	4.106269e+000
1.025680308071645e-005	-3.996403e+000	4.114614e+000
1.051360616143287e-005	-3.995928e+000	4.122834e+000
1.077040924214929e-005	-3.995366e+000	4.130927e+000
1.102721232286571e-005	-3.994718e+000	4.138895e+000
1.128401540358213e-005	-3.993982e+000	4.146737e+000
1.154081848429855e-005	-3.993160e+000	4.154454e+000
1.179762156501498e-005	-3.992252e+000	4.162045e+000
1.214097398331880e-005	-3.991018e+000	4.172002e+000
1.299999999999999e-005	-3.987596e+000	4.195872e+000
1.399999999999991e-005	-3.982681e+000	4.221792e+000
1.501734736376425e-005	-3.975456e+000	4.246085e+000
1.601465485845822e-005	-3.970557e+000	4.267845e+000
1.617339080033740e-005	-3.969411e+000	4.271113e+000
1.633212674221659e-005	-3.968257e+000	4.274330e+000
1.649086268409577e-005	-3.967095e+000	4.277497e+000
1.664959862597496e-005	-3.965924e+000	4.280613e+000
1.680833456785415e-005	-3.964745e+000	4.283680e+000
