time	V(vin)	V(vout)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.124999980258129e-13	4.999992e+00	-4.981309e-01
1.398805652599470e-13	5.000000e+00	-9.942320e-08
1.266814133750311e-05	4.956485e+00	5.439474e-05
2.533628253512565e-05	4.849050e+00	9.577023e-05
3.800442373274819e-05	4.677695e+00	1.240270e-04
5.067256493037074e-05	4.442418e+00	1.391652e-04
6.334070612799328e-05	4.143222e+00	1.411846e-04
7.600884732561582e-05	3.780105e+00	1.300854e-04
8.867698852323834e-05	3.353067e+00	1.058675e-04
9.508254142899446e-05	3.122168e+00	9.279480e-05
1.014880943347506e-04	2.881752e+00	8.245796e-05
1.078936472405067e-04	2.631817e+00	7.485701e-05
1.142992001462629e-04	2.372365e+00	6.999195e-05
1.207047530520190e-04	2.103395e+00	6.786278e-05
1.271103059577751e-04	1.824908e+00	6.846949e-05
1.335158588635312e-04	1.536902e+00	7.181209e-05
1.335977788634259e-04	1.533228e+00	7.196041e-05
1.376159011238242e-04	1.351406e+00	7.982363e-05
1.416340233842226e-04	1.168266e+00	9.208600e-05
1.456521456446209e-04	9.838087e-01	1.087475e-04
1.496702679050192e-04	7.980337e-01	1.298081e-04
1.536883901654175e-04	6.109412e-01	1.552679e-04
1.577065124258158e-04	4.225311e-01	1.851268e-04
1.617246346862141e-04	2.328036e-01	2.193849e-04
1.638172686147855e-04	1.341627e-01	2.400690e-04
1.659099025433569e-04	3.556552e-02	2.630388e-04
1.680025364719284e-04	-6.298804e-02	2.882942e-04
1.700951704004998e-04	-1.614980e-01	3.158352e-04
1.721878043290713e-04	-2.599642e-01	3.456618e-04
1.742804382576427e-04	-3.583869e-01	3.777740e-04
1.763730721862141e-04	-4.567659e-01	4.121719e-04
1.801980921419695e-04	-6.364670e-01	4.748221e-04
1.840231120977248e-04	-8.147779e-01	5.575437e-04
1.878481320534802e-04	-9.916986e-01	6.603365e-04
1.916731520092356e-04	-1.167229e+00	7.832006e-04
1.954981719649909e-04	-1.341369e+00	9.261359e-04
1.993231919207463e-04	-1.514119e+00	1.089143e-03
2.031482118765016e-04	-1.685479e+00	1.272220e-03
2.090075868765016e-04	-1.942733e+00	1.641101e-03
2.119372743765016e-04	-2.069187e+00	1.867095e-03
2.148669618765016e-04	-2.194064e+00	2.126544e-03
2.177966493765016e-04	-2.317268e+00	2.424511e-03
2.207263368765016e-04	-2.438706e+00	2.766740e-03
2.243430397727275e-04	-2.586046e+00	3.246587e-03
2.264029633021619e-04	-2.668670e+00	3.560321e-03
2.284628868315964e-04	-2.750225e+00	3.913617e-03
2.305228103610308e-04	-2.830712e+00	4.306474e-03
2.325827338904653e-04	-2.910130e+00	4.738893e-03
2.346426574198997e-04	-2.988479e+00	5.210873e-03
2.367025809493342e-04	-3.065759e+00	5.722414e-03
2.387625044787686e-04	-3.141971e+00	6.273517e-03
2.387721351870351e-04	-3.142324e+00	6.276283e-03
2.413258059407508e-04	-3.235112e+00	7.040602e-03
2.438794766944667e-04	-3.325905e+00	7.925467e-03
2.464331474481824e-04	-3.414705e+00	8.930877e-03
2.489868182018982e-04	-3.501512e+00	1.005683e-02
2.515404889556140e-04	-3.586324e+00	1.130333e-02
2.540941597093298e-04	-3.669143e+00	1.267038e-02
2.566478304630456e-04	-3.749968e+00	1.415797e-02
2.595775179630456e-04	-3.839845e+00	1.611833e-02
2.625072054630456e-04	-3.926795e+00	1.832923e-02
2.654368929630456e-04	-4.010751e+00	2.081778e-02
2.697975852272730e-04	-4.130034e+00	2.501109e-02
2.722518546468264e-04	-4.194181e+00	2.769393e-02
2.747061240663797e-04	-4.256009e+00	3.070285e-02
2.771603934859331e-04	-4.315517e+00	3.403785e-02
2.796146629054865e-04	-4.372705e+00	3.769893e-02
2.820689323250399e-04	-4.427574e+00	4.168610e-02
2.845232017445932e-04	-4.480123e+00	4.599934e-02
2.869774711641466e-04	-4.530352e+00	5.063867e-02
2.905416925747131e-04	-4.598851e+00	5.833438e-02
2.934713800747131e-04	-4.651273e+00	6.533457e-02
2.964010675747131e-04	-4.700150e+00	7.301237e-02
2.993307550747131e-04	-4.745442e+00	8.145552e-02
3.022604425747131e-04	-4.787118e+00	9.072209e-02
3.051901300747131e-04	-4.825143e+00	1.008725e-01
3.081198175747131e-04	-4.859491e+00	1.119695e-01
3.110495050747131e-04	-4.890133e+00	1.240780e-01
3.156359419676077e-04	-4.930611e+00	1.449359e-01
3.191583483831715e-04	-4.955476e+00	1.627509e-01
3.226807547987354e-04	-4.974845e+00	1.827567e-01
3.262031612142992e-04	-4.988718e+00	2.049533e-01
3.297255676298631e-04	-4.997095e+00	2.293407e-01
3.332479740454269e-04	-4.999976e+00	2.559189e-01
3.367703804609908e-04	-4.997360e+00	2.846879e-01
3.402927868765547e-04	-4.989248e+00	3.156477e-01
3.432224743765547e-04	-4.978299e+00	3.435221e-01
3.461521618765547e-04	-4.963554e+00	3.732643e-01
3.520115368765547e-04	-4.922727e+00	4.386185e-01
3.578709118765547e-04	-4.866890e+00	5.122133e-01
3.602973634586701e-04	-4.839379e+00	5.449077e-01
3.627238150407856e-04	-4.809376e+00	5.792276e-01
3.651502666229010e-04	-4.776881e+00	6.151730e-01
3.675767182050164e-04	-4.741895e+00	6.527439e-01
3.700031697871319e-04	-4.704418e+00	6.919404e-01
3.724296213692474e-04	-4.664449e+00	7.327624e-01
3.748560729513628e-04	-4.621989e+00	7.752099e-01
3.748563929513633e-04	-4.621983e+00	7.752156e-01
3.804681777072704e-04	-4.512857e+00	8.815874e-01
3.860799624631776e-04	-4.392334e+00	9.954388e-01
3.916917472190848e-04	-4.260413e+00	1.116770e+00
3.973035319749919e-04	-4.117094e+00	1.245580e+00
4.029153167308992e-04	-3.962378e+00	1.381870e+00
4.085271014868063e-04	-3.796264e+00	1.525639e+00
4.141388862427135e-04	-3.618752e+00	1.676888e+00
4.185639299422812e-04	-3.471591e+00	1.800289e+00
4.229889736418488e-04	-3.318905e+00	1.925093e+00
4.274140173414165e-04	-3.160696e+00	2.051298e+00
4.318390610409841e-04	-2.996962e+00	2.178907e+00
4.362641047405518e-04	-2.827704e+00	2.307918e+00
4.406891484401195e-04	-2.652923e+00	2.438331e+00
4.451141921396871e-04	-2.472618e+00	2.570147e+00
4.506279471114240e-04	-2.242225e+00	2.731600e+00
4.561417020831608e-04	-2.007297e+00	2.882322e+00
4.616554570548977e-04	-1.767833e+00	3.022312e+00
4.671692120266346e-04	-1.523832e+00	3.151570e+00
4.726829669983714e-04	-1.275295e+00	3.270096e+00
4.781967219701083e-04	-1.022223e+00	3.377891e+00
4.837104769418452e-04	-7.646137e-01	3.474955e+00
4.924995394418451e-04	-3.531566e-01	3.579892e+00
5.000000224000005e-04	1.055570e-06	3.627246e+00
5.027539295399059e-04	1.300181e-01	3.633674e+00
5.055078366798112e-04	2.597168e-01	3.633136e+00
5.082617438197166e-04	3.890972e-01	3.625632e+00
5.110156509596220e-04	5.181592e-01	3.611161e+00
5.137695580995274e-04	6.469029e-01	3.589725e+00
5.165234652394328e-04	7.753282e-01	3.561324e+00
5.192773723793381e-04	9.034352e-01	3.525956e+00
5.280664348793382e-04	1.307230e+00	3.366428e+00
5.339258098793382e-04	1.571614e+00	3.218562e+00
5.388780598978597e-04	1.792465e+00	3.066451e+00
5.438303099163812e-04	2.008280e+00	2.892660e+00
5.487825599349027e-04	2.219060e+00	2.697187e+00
5.537348099534243e-04	2.424804e+00	2.480032e+00
5.586870599719458e-04	2.625513e+00	2.241196e+00
5.636393099904673e-04	2.821186e+00	1.980679e+00
5.685915600089889e-04	3.011823e+00	1.698480e+00
5.744509350089889e-04	3.227522e+00	1.348327e+00
5.803103100089889e-04	3.433381e+00	9.784178e-01
5.861696850089889e-04	3.628771e+00	5.926030e-01
5.874147583471560e-04	3.668900e+00	5.088482e-01
5.886598316853231e-04	3.708509e+00	4.246340e-01
5.899049050234902e-04	3.747599e+00	3.399602e-01
5.911499783616572e-04	3.786170e+00	2.548269e-01
5.923950516998243e-04	3.824222e+00	1.692341e-01
5.936401250379915e-04	3.861754e+00	8.318177e-02
5.948851983761586e-04	3.898767e+00	-3.330098e-03
5.962837003778711e-04	3.939715e+00	-1.009122e-01
5.976822023795837e-04	3.979959e+00	-1.986211e-01
5.990807043812962e-04	4.019497e+00	-2.964568e-01
6.004792063830089e-04	4.058331e+00	-3.944195e-01
6.018777083847214e-04	4.096459e+00	-4.925090e-01
6.032762103864340e-04	4.133883e+00	-5.907253e-01
6.046747123881466e-04	4.170601e+00	-6.890685e-01
6.079064870414808e-04	4.252821e+00	-9.174146e-01
6.111382616948151e-04	4.330927e+00	-1.143089e+00
6.143700363481494e-04	4.404918e+00	-1.366092e+00
6.176018110014836e-04	4.474794e+00	-1.586422e+00
6.208335856548179e-04	4.540556e+00	-1.804082e+00
6.240653603081522e-04	4.602204e+00	-2.019069e+00
6.272971349614864e-04	4.659737e+00	-2.231385e+00
6.357948822737579e-04	4.789845e+00	-2.761519e+00
6.468873528483037e-04	4.912717e+00	-3.387003e+00
6.579798234228496e-04	4.981874e+00	-3.910732e+00
6.690722939973954e-04	4.997318e+00	-4.332706e+00
6.801647645719413e-04	4.959047e+00	-4.652926e+00
6.912572351464871e-04	4.867062e+00	-4.871392e+00
7.023497057210329e-04	4.721362e+00	-4.988103e+00
7.134421762955787e-04	4.521949e+00	-5.003060e+00
7.170179859157843e-04	4.447192e+00	-4.993779e+00
7.205937955359899e-04	4.367644e+00	-4.979242e+00
7.241696051561954e-04	4.283305e+00	-4.959448e+00
7.277454147764011e-04	4.194175e+00	-4.934398e+00
7.313212243966066e-04	4.100254e+00	-4.904091e+00
7.348970340168122e-04	4.001541e+00	-4.868527e+00
7.384728436370178e-04	3.898038e+00	-4.827707e+00
7.384731636370165e-04	3.898029e+00	-4.827703e+00
7.466213923401587e-04	3.639900e+00	-4.716536e+00
7.547696210433007e-04	3.365282e+00	-4.603616e+00
7.629178497464429e-04	3.074173e+00	-4.488943e+00
7.710660784495850e-04	2.766575e+00	-4.372517e+00
7.792143071527272e-04	2.442486e+00	-4.254338e+00
7.873625358558693e-04	2.101907e+00	-4.134406e+00
7.955107645590114e-04	1.744838e+00	-4.012721e+00
8.005438723952327e-04	1.518836e+00	-3.941373e+00
8.055769802314540e-04	1.290893e+00	-3.866118e+00
8.106100880676752e-04	1.061010e+00	-3.786956e+00
8.156431959038966e-04	8.291865e-01	-3.703888e+00
8.206763037401179e-04	5.954234e-01	-3.616914e+00
8.257094115763392e-04	3.597203e-01	-3.526033e+00
8.307425194125605e-04	1.220771e-01	-3.431245e+00
8.325518863256222e-04	3.677223e-02	-3.394804e+00
8.343612532386841e-04	-4.848461e-02	-3.357283e+00
8.361706201517458e-04	-1.336934e-01	-3.318685e+00
8.379799870648077e-04	-2.188542e-01	-3.279007e+00
8.397893539778694e-04	-3.039670e-01	-3.238251e+00
8.415987208909313e-04	-3.890318e-01	-3.196417e+00
8.434080878039931e-04	-4.740485e-01	-3.153504e+00
8.466496314524126e-04	-6.265207e-01	-3.074188e+00
8.498911751008320e-04	-7.779578e-01	-2.989981e+00
8.531327187492516e-04	-9.283598e-01	-2.900882e+00
8.563742623976711e-04	-1.077727e+00	-2.806892e+00
8.596158060460906e-04	-1.226059e+00	-2.708009e+00
8.628573496945101e-04	-1.373355e+00	-2.604235e+00
8.660988933429296e-04	-1.519617e+00	-2.495569e+00
8.661309784845203e-04	-1.521057e+00	-2.494467e+00
8.712360159543374e-04	-1.748803e+00	-2.312286e+00
8.763410534241544e-04	-1.971518e+00	-2.117788e+00
8.814460908939715e-04	-2.189201e+00	-1.910974e+00
8.865511283637885e-04	-2.401852e+00	-1.691843e+00
8.916561658336056e-04	-2.609472e+00	-1.460395e+00
8.967612033034228e-04	-2.812060e+00	-1.216631e+00
9.018662407732398e-04	-3.009617e+00	-9.605495e-01
9.041470581694615e-04	-3.094835e+00	-8.443002e-01
9.064278755656833e-04	-3.178530e+00	-7.265923e-01
9.087086929619051e-04	-3.260701e+00	-6.074259e-01
9.109895103581269e-04	-3.341348e+00	-4.868010e-01
9.132703277543487e-04	-3.420472e+00	-3.647175e-01
9.155511451505705e-04	-3.498073e+00	-2.411755e-01
9.178319625467923e-04	-3.574149e+00	-1.161749e-01
9.188539438357078e-04	-3.607666e+00	-6.007922e-02
9.198759251246234e-04	-3.640841e+00	-3.835085e-03
9.208979064135389e-04	-3.673675e+00	5.255752e-02
9.219198877024545e-04	-3.706167e+00	1.090986e-01
9.229418689913700e-04	-3.738318e+00	1.657882e-01
9.239638502802856e-04	-3.770128e+00	2.226262e-01
9.249858315692011e-04	-3.801596e+00	2.796127e-01
9.282910488474668e-04	-3.901123e+00	4.652820e-01
9.315962661257325e-04	-3.996644e+00	6.501504e-01
9.349014834039982e-04	-4.088159e+00	8.342180e-01
9.382067006822640e-04	-4.175669e+00	1.017485e+00
9.415119179605297e-04	-4.259174e+00	1.199950e+00
9.448171352387953e-04	-4.338673e+00	1.381615e+00
9.481223525170610e-04	-4.414167e+00	1.562479e+00
9.540953911175707e-04	-4.539755e+00	1.884268e+00
9.600684297180805e-04	-4.650306e+00	2.191026e+00
9.660414683185901e-04	-4.745820e+00	2.482753e+00
9.720145069190998e-04	-4.826299e+00	2.759448e+00
9.779875455196096e-04	-4.891740e+00	3.021113e+00
9.839605841201191e-04	-4.942146e+00	3.267746e+00
9.899336227206289e-04	-4.977514e+00	3.499348e+00
1.001321240288010e-03	-4.999612e+00	3.876924e+00
1.009439543687826e-03	-4.978305e+00	4.091723e+00
1.017557847087643e-03	-4.929248e+00	4.276445e+00
1.025676150487459e-03	-4.852442e+00	4.431090e+00
1.033794453887275e-03	-4.747886e+00	4.555658e+00
1.041912757287091e-03	-4.615582e+00	4.650150e+00
1.050031060686907e-03	-4.455527e+00	4.714564e+00
1.058149364086723e-03	-4.267724e+00	4.748901e+00
1.067256761404859e-03	-4.021591e+00	4.766219e+00
1.076364158722994e-03	-3.751778e+00	4.764205e+00
1.085471556041130e-03	-3.458283e+00	4.742859e+00
1.094578953359266e-03	-3.141108e+00	4.702182e+00
1.103686350677402e-03	-2.800251e+00	4.642174e+00
1.112793747995537e-03	-2.435714e+00	4.562834e+00
1.121901145313673e-03	-2.047496e+00	4.464162e+00
1.127332732141103e-03	-1.809603e+00	4.396002e+00
1.132764318968532e-03	-1.568631e+00	4.317025e+00
1.138195905795962e-03	-1.324582e+00	4.227232e+00
1.143627492623391e-03	-1.077456e+00	4.126623e+00
1.149059079450820e-03	-8.272512e-01	4.015199e+00
1.154490666278250e-03	-5.739690e-01	3.892958e+00
1.159922253105679e-03	-3.176090e-01	3.759901e+00
1.162014887034250e-03	-2.190439e-01	3.705003e+00
1.164107520962822e-03	-1.204893e-01	3.648204e+00
1.166200154891393e-03	-2.194543e-02	3.589502e+00
1.168292788819964e-03	7.658785e-02	3.528898e+00
1.170385422748536e-03	1.751105e-01	3.466392e+00
1.172478056677107e-03	2.736225e-01	3.401984e+00
1.174570690605679e-03	3.721240e-01	3.335674e+00
1.180477417333889e-03	6.504214e-01	3.137370e+00
1.186384144062099e-03	9.248258e-01	2.925273e+00
1.192290870790309e-03	1.195337e+00	2.699385e+00
1.198197597518519e-03	1.461955e+00	2.459704e+00
1.204104324246729e-03	1.724681e+00	2.206231e+00
1.210011050974939e-03	1.983513e+00	1.938966e+00
1.215917777703149e-03	2.238452e+00	1.657909e+00
1.219633667005001e-03	2.394143e+00	1.477394e+00
1.223349556306853e-03	2.546422e+00	1.294718e+00
1.227065445608705e-03	2.695289e+00	1.109883e+00
1.230781334910557e-03	2.840743e+00	9.228860e-01
1.234497224212409e-03	2.982785e+00	7.337290e-01
1.238213113514261e-03	3.121414e+00	5.424113e-01
1.241929002816113e-03	3.256631e+00	3.489330e-01
1.249396082509524e-03	3.515353e+00	-3.878716e-02
1.255255457509523e-03	3.706247e+00	-3.419960e-01
1.264044520009523e-03	3.971227e+00	-7.910036e-01
1.275006883918234e-03	4.263371e+00	-1.334214e+00
1.283239329636093e-03	4.455111e+00	-1.727964e+00
1.291471775353951e-03	4.618010e+00	-2.098050e+00
1.299704221071810e-03	4.752069e+00	-2.444472e+00
1.307936666789668e-03	4.857286e+00	-2.767229e+00
1.316169112507527e-03	4.933662e+00	-3.066321e+00
1.324401558225385e-03	4.981197e+00	-3.341748e+00
1.332634003943244e-03	4.999891e+00	-3.593511e+00
1.344780407632173e-03	4.965626e+00	-3.913996e+00
1.356926811321103e-03	4.871469e+00	-4.187534e+00
1.369073215010032e-03	4.717421e+00	-4.414125e+00
1.381219618698961e-03	4.503482e+00	-4.593768e+00
1.393366022387891e-03	4.229652e+00	-4.726463e+00
1.405512426076820e-03	3.895931e+00	-4.812211e+00
1.417658829765749e-03	3.502319e+00	-4.851012e+00
1.425063629452335e-03	3.239438e+00	-4.852990e+00
1.432468429138920e-03	2.964926e+00	-4.831755e+00
1.439873228825506e-03	2.678783e+00	-4.787308e+00
1.447278028512091e-03	2.381010e+00	-4.719648e+00
1.454682828198677e-03	2.071607e+00	-4.628776e+00
1.462087627885262e-03	1.750573e+00	-4.514691e+00
1.469492427571848e-03	1.417909e+00	-4.377394e+00
1.473432125418727e-03	1.238310e+00	-4.293144e+00
1.477371823265606e-03	1.057632e+00	-4.202098e+00
1.481311521112485e-03	8.758734e-01	-4.104254e+00
1.485251218959364e-03	6.930351e-01	-3.999613e+00
1.489190916806243e-03	5.091169e-01	-3.888174e+00
1.493130614653123e-03	3.241188e-01	-3.769938e+00
1.497070312500002e-03	1.380407e-01	-3.644905e+00
1.498118971843012e-03	8.862336e-02	-3.610810e+00
1.499167631186023e-03	3.920982e-02	-3.576216e+00
1.500216290529033e-03	-1.019988e-02	-3.541121e+00
1.501264949872044e-03	-5.960572e-02	-3.505526e+00
1.502313609215054e-03	-1.090077e-01	-3.469431e+00
1.503362268558065e-03	-1.584059e-01	-3.432836e+00
1.504410927901075e-03	-2.078002e-01	-3.395741e+00
1.509855775051571e-03	-4.643426e-01	-3.196080e+00
1.515300622202067e-03	-7.183669e-01	-2.987441e+00
1.520745469352563e-03	-9.698732e-01	-2.769825e+00
1.526190316503059e-03	-1.218861e+00	-2.543231e+00
1.531635163653555e-03	-1.465331e+00	-2.307660e+00
1.537080010804051e-03	-1.709283e+00	-2.063111e+00
1.542524857954547e-03	-1.950717e+00	-1.809585e+00
1.556831308218131e-03	-2.551882e+00	-1.133520e+00
1.559685175873679e-03	-2.666759e+00	-9.959503e-01
1.562539043529227e-03	-2.779519e+00	-8.583087e-01
1.565392911184775e-03	-2.890162e+00	-7.205953e-01
1.568246778840323e-03	-2.998688e+00	-5.828102e-01
1.571100646495871e-03	-3.105097e+00	-4.449533e-01
1.573954514151419e-03	-3.209390e+00	-3.070246e-01
1.576808381806967e-03	-3.311566e+00	-1.690242e-01
1.579738069306967e-03	-3.413727e+00	-2.818822e-02
1.582667756806967e-03	-3.513286e+00	1.120846e-01
1.587979403409093e-03	-3.686910e+00	3.646024e-01
1.595757284533495e-03	-3.925771e+00	7.307238e-01
1.603535165657899e-03	-4.141353e+00	1.085566e+00
1.611313046782301e-03	-4.333654e+00	1.429128e+00
1.619090927906704e-03	-4.502676e+00	1.761410e+00
1.626868809031107e-03	-4.648418e+00	2.082413e+00
1.634646690155510e-03	-4.770881e+00	2.392135e+00
1.642424571279913e-03	-4.870063e+00	2.690579e+00
1.653581868891035e-03	-4.960569e+00	3.093978e+00
1.664739166502156e-03	-4.997072e+00	3.460421e+00
1.675896464113278e-03	-4.979572e+00	3.789905e+00
1.687053761724399e-03	-4.908070e+00	4.082432e+00
1.698211059335520e-03	-4.782564e+00	4.338002e+00
1.709368356946642e-03	-4.603057e+00	4.556614e+00
1.720525654557763e-03	-4.369546e+00	4.738268e+00
1.728824114657588e-03	-4.164189e+00	4.840802e+00
1.737122574757414e-03	-3.936627e+00	4.912940e+00
1.745421034857239e-03	-3.686862e+00	4.954683e+00
1.753719494957064e-03	-3.414892e+00	4.966031e+00
1.762017955056889e-03	-3.120719e+00	4.946984e+00
1.770316415156714e-03	-2.804342e+00	4.897541e+00
1.778614875256539e-03	-2.465760e+00	4.817704e+00
1.783901799978877e-03	-2.245586e+00	4.747320e+00
1.789188724701215e-03	-2.020943e+00	4.664244e+00
1.794475649423553e-03	-1.791831e+00	4.568477e+00
1.799762574145891e-03	-1.558250e+00	4.460019e+00
1.805049498868229e-03	-1.320201e+00	4.338869e+00
