time	V(vin)	V(vout)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.124999980258129e-13	6.752701e-10	-9.264227e-06
1.364116154345335e-13	8.187972e-10	-4.979843e-06
5.526856178556712e-13	3.317441e-09	-6.646240e-09
9.967112204382181e-13	5.982661e-09	-6.541660e-09
1.884762425603311e-12	1.131310e-08	-6.332499e-09
3.377412423655824e-12	2.027258e-08	-5.980938e-09
9.999999999999999e-12	6.002401e-08	-4.421135e-09
1.275974568441819e-11	7.658911e-08	-3.771138e-09
1.551949136883637e-11	9.315421e-08	-3.121141e-09
1.827923705325456e-11	1.097193e-07	-2.471145e-09
2.103898273767275e-11	1.262844e-07	-1.821148e-09
2.379872842209094e-11	1.428495e-07	-1.171151e-09
2.655847410650912e-11	1.594146e-07	-5.211539e-10
2.931821979092730e-11	1.759797e-07	1.288431e-10
4.894307799123441e-11	2.937760e-07	4.751042e-09
8.819279439184862e-11	5.293685e-07	1.399543e-08
1.666922271930770e-10	1.000554e-06	3.248411e-08
2.529225288119974e-10	1.518142e-06	5.279340e-08
3.446828881570448e-10	2.068925e-06	7.440467e-08
5.011605663897366e-10	3.008167e-06	1.112566e-07
6.615958662735123e-10	3.971164e-06	1.490374e-07
9.824664660410638e-10	5.897158e-06	2.245811e-07
1.605660579485045e-09	9.637819e-06	3.711957e-07
2.832391134855553e-09	1.700115e-05	6.590856e-07
5.285852245596569e-09	3.172781e-05	1.229866e-06
1.019277446707860e-08	6.118112e-05	2.337571e-06
2.000661891004266e-08	1.200877e-04	4.348462e-06
3.963430779597079e-08	2.379010e-04	7.400932e-06
7.888968556782705e-08	4.735275e-04	1.050923e-05
1.574004411115396e-07	9.447805e-04	1.188585e-05
2.969028002996479e-07	1.782130e-03	1.185265e-05
4.408830315852277e-07	2.646357e-03	1.232919e-05
6.395996811935505e-07	3.839134e-03	1.318521e-05
7.910874293598241e-07	4.748424e-03	1.373519e-05
9.832950796662950e-07	5.902132e-03	1.454848e-05
1.000000000000000e-06	6.002401e-03	1.460164e-05
1.033135112776341e-06	6.201291e-03	1.470785e-05
1.099405338329025e-06	6.599071e-03	1.494581e-05
1.231945789434390e-06	7.394633e-03	1.545611e-05
1.497026691645122e-06	8.985754e-03	1.648015e-05
2.000000000000000e-06	1.200480e-02	1.841384e-05
2.156853347448462e-06	1.294630e-02	1.901718e-05
2.365991144046412e-06	1.420163e-02	1.981915e-05
2.784266737242311e-06	1.671229e-02	2.142212e-05
3.000000000000000e-06	1.800720e-02	2.224772e-05
