time	V(vin)	V(vout)
0.000000000000000e+000	4.755282e+000	-1.755279e+000
2.166722654119115e-006	4.637265e+000	-1.724136e+000
4.333445308238230e-006	4.499618e+000	-1.685602e+000
6.500167962357345e-006	4.342341e+000	-1.639676e+000
8.666890616476460e-006	4.165433e+000	-1.586359e+000
1.083361327059557e-005	3.968896e+000	-1.525650e+000
1.300033592471469e-005	3.752728e+000	-1.457549e+000
1.516705857883380e-005	3.516930e+000	-1.382056e+000
1.622029200181222e-005	3.397078e+000	-1.343221e+000
1.727352542479064e-005	3.273855e+000	-1.303030e+000
1.832675884776906e-005	3.147260e+000	-1.261483e+000
1.937999227074748e-005	3.017295e+000	-1.218580e+000
2.043322569372590e-005	2.883959e+000	-1.174320e+000
2.148645911670432e-005	2.747253e+000	-1.128705e+000
2.253969253968274e-005	2.607175e+000	-1.081733e+000
2.253969353968274e-005	2.607175e+000	-1.081733e+000
2.253969553968273e-005	2.607174e+000	-1.081733e+000
2.253969953968271e-005	2.607174e+000	-1.081733e+000
2.253970253968270e-005	2.607173e+000	-1.081733e+000
2.253970278099943e-005	2.607173e+000	-1.081733e+000
2.253970326363290e-005	2.607173e+000	-1.081733e+000
2.253970422889983e-005	2.607173e+000	-1.081733e+000
2.253970615943369e-005	2.607173e+000	-1.081733e+000
2.253971002050140e-005	2.607172e+000	-1.081733e+000
2.253971774263683e-005	2.607171e+000	-1.081732e+000
2.253973318690769e-005	2.607169e+000	-1.081732e+000
2.253976407544942e-005	2.607165e+000	-1.081730e+000
2.253980025006480e-005	2.607160e+000	-1.081728e+000
2.253984627138047e-005	2.607154e+000	-1.081726e+000
2.253990235863207e-005	2.607147e+000	-1.081724e+000
2.253999714116762e-005	2.607134e+000	-1.081720e+000
2.254012420563594e-005	2.607117e+000	-1.081714e+000
2.254024407116122e-005	2.607101e+000	-1.081708e+000
2.254025884440482e-005	2.607099e+000	-1.081708e+000
2.254028839089204e-005	2.607095e+000	-1.081707e+000
2.254034748386670e-005	2.607087e+000	-1.081704e+000
2.254045032853047e-005	2.607073e+000	-1.081699e+000
2.254049049719509e-005	2.607068e+000	-1.081697e+000
2.254052967047928e-005	2.607063e+000	-1.081696e+000
2.254055613944085e-005	2.607059e+000	-1.081694e+000
2.254058615010928e-005	2.607055e+000	-1.081693e+000
2.254064617144614e-005	2.607047e+000	-1.081690e+000
2.254072783819307e-005	2.607036e+000	-1.081687e+000
2.254077516123895e-005	2.607030e+000	-1.081685e+000
2.254082552534051e-005	2.607023e+000	-1.081682e+000
2.254086811341984e-005	2.607017e+000	-1.081680e+000
2.254091284051036e-005	2.607011e+000	-1.081678e+000
2.254093629895410e-005	2.607008e+000	-1.081677e+000
2.254095710605363e-005	2.607005e+000	-1.081676e+000
2.254097948261387e-005	2.607002e+000	-1.081675e+000
2.254102423573457e-005	2.606996e+000	-1.081673e+000
2.254111374197596e-005	2.606984e+000	-1.081669e+000
2.254122394347320e-005	2.606969e+000	-1.081664e+000
2.254134779285729e-005	2.606953e+000	-1.081659e+000
2.254149458262122e-005	2.606933e+000	-1.081652e+000
2.254167641832332e-005	2.606909e+000	-1.081644e+000
2.254191034999184e-005	2.606877e+000	-1.081633e+000
2.254213676563567e-005	2.606847e+000	-1.081623e+000
2.254239704750985e-005	2.606812e+000	-1.081611e+000
2.254270398672521e-005	2.606771e+000	-1.081598e+000
2.254304670834908e-005	2.606725e+000	-1.081582e+000
2.254345112880909e-005	2.606671e+000	-1.081564e+000
2.254385256676142e-005	2.606617e+000	-1.081546e+000
2.254441804050108e-005	2.606541e+000	-1.081520e+000
2.254512616153988e-005	2.606446e+000	-1.081488e+000
2.254611642711212e-005	2.606314e+000	-1.081444e+000
2.254784813210463e-005	2.606081e+000	-1.081366e+000
2.255131154208943e-005	2.605617e+000	-1.081210e+000
2.255823836205925e-005	2.604688e+000	-1.080897e+000
2.256795588279786e-005	2.603385e+000	-1.080459e+000
2.257945463261845e-005	2.601843e+000	-1.079941e+000
2.259278747283725e-005	2.600055e+000	-1.079339e+000
2.260744296861883e-005	2.598088e+000	-1.078678e+000
2.262312733610633e-005	2.595983e+000	-1.077970e+000
2.263852653443927e-005	2.593915e+000	-1.077274e+000
2.265374906606989e-005	2.591871e+000	-1.076586e+000
2.266882845646618e-005	2.589844e+000	-1.075905e+000
2.268500179347611e-005	2.587671e+000	-1.075174e+000
2.270457111223944e-005	2.585040e+000	-1.074288e+000
2.271478658076739e-005	2.583667e+000	-1.073826e+000
2.272549144884139e-005	2.582227e+000	-1.073342e+000
2.273770496261205e-005	2.580584e+000	-1.072789e+000
2.275024571511534e-005	2.578897e+000	-1.072221e+000
2.276367865758702e-005	2.577089e+000	-1.071613e+000
2.277763632469853e-005	2.575209e+000	-1.070980e+000
2.279261790870857e-005	2.573192e+000	-1.070301e+000
2.280848891402713e-005	2.571054e+000	-1.069581e+000
2.282630375479550e-005	2.568654e+000	-1.068773e+000
2.284743899564788e-005	2.565805e+000	-1.067814e+000
2.286701743654546e-005	2.563165e+000	-1.066925e+000
2.288079579826656e-005	2.561306e+000	-1.066299e+000
2.289490608235506e-005	2.559402e+000	-1.065658e+000
2.290995192957119e-005	2.557372e+000	-1.064974e+000
2.292359231845058e-005	2.555531e+000	-1.064354e+000
2.293709224683344e-005	2.553708e+000	-1.063740e+000
2.295160415433594e-005	2.551748e+000	-1.063080e+000
2.296633366230647e-005	2.549757e+000	-1.062410e+000
2.298307237983549e-005	2.547495e+000	-1.061648e+000
2.300000000000002e-005	2.545207e+000	-1.060877e+000
2.300190803982425e-005	2.544949e+000	-1.060790e+000
2.300572411947249e-005	2.544433e+000	-1.060616e+000
2.301335627876919e-005	2.543401e+000	-1.060268e+000
2.302862059736237e-005	2.541336e+000	-1.059572e+000
2.305914923454895e-005	2.537205e+000	-1.058180e+000
2.309567772604856e-005	2.532259e+000	-1.056513e+000
2.312868033376076e-005	2.527788e+000	-1.055006e+000
2.316390841935394e-005	2.523012e+000	-1.053396e+000
2.319967517124097e-005	2.518160e+000	-1.051759e+000
2.323290031641992e-005	2.513650e+000	-1.050238e+000
2.326635382063802e-005	2.509106e+000	-1.048706e+000
2.330167438759187e-005	2.504306e+000	-1.047086e+000
2.334302418330455e-005	2.498682e+000	-1.045188e+000
2.338861844621942e-005	2.492476e+000	-1.043094e+000
2.343203487546654e-005	2.486561e+000	-1.041098e+000
2.347372529841181e-005	2.480878e+000	-1.039179e+000
2.351264028598423e-005	2.475569e+000	-1.037386e+000
2.355174211697824e-005	2.470230e+000	-1.035583e+000
2.359870946225186e-005	2.463813e+000	-1.033415e+000
2.365103183279548e-005	2.456658e+000	-1.030998e+000
2.371303412952632e-005	2.448171e+000	-1.028129e+000
2.378286169165225e-005	2.438601e+000	-1.024893e+000
2.396991199744934e-005	2.412909e+000	-1.016204e+000
2.399999999999993e-005	2.408768e+000	-1.014803e+000
2.401329737116895e-005	2.406938e+000	-1.014184e+000
2.403989211350720e-005	2.403275e+000	-1.012944e+000
2.480859877604423e-005	2.296545e+000	-9.767533e-001
2.557730543858126e-005	2.188633e+000	-9.400409e-001
2.634601210111829e-005	2.079539e+000	-9.028065e-001
2.711471876365532e-005	1.969263e+000	-8.650502e-001
2.788342542619235e-005	1.857806e+000	-8.267718e-001
2.865213208872938e-005	1.745167e+000	-7.879716e-001
2.942083875126641e-005	1.631346e+000	-7.486494e-001
3.071043321537121e-005	1.437764e+000	-6.815240e-001
3.200002767947600e-005	1.242630e+000	-6.135351e-001
3.328962214358079e-005	1.045945e+000	-5.446827e-001
3.457921660768558e-005	8.477082e-001	-4.749668e-001
3.586881107179037e-005	6.479204e-001	-4.043874e-001
3.715840553589517e-005	4.465814e-001	-3.329445e-001
3.844799999999995e-005	2.436910e-001	-2.606381e-001
3.999999999999989e-005	1.568898e-011	-1.733754e-001
4.046719085714278e-005	-7.342310e-002	-1.469898e-001
4.093438171428568e-005	-1.467909e-001	-1.205823e-001
4.140157257142858e-005	-2.201033e-001	-9.415291e-002
4.186876342857147e-005	-2.933605e-001	-6.770164e-002
4.233595428571437e-005	-3.665623e-001	-4.122851e-002
4.280314514285726e-005	-4.397088e-001	-1.473349e-002
4.327033600000016e-005	-5.127999e-001	1.178340e-002
4.408885942857157e-005	-6.407199e-001	5.829438e-002
4.490738285714297e-005	-7.680072e-001	1.047069e-001
4.572590628571438e-005	-8.946620e-001	1.510210e-001
4.654442971428578e-005	-1.020684e+000	1.972366e-001
4.736295314285719e-005	-1.146074e+000	2.433537e-001
4.818147657142859e-005	-1.270831e+000	2.893724e-001
4.900000000000000e-005	-1.394956e+000	3.352926e-001
4.975510204081634e-005	-1.508613e+000	3.774579e-001
5.051020408163269e-005	-1.621263e+000	4.193684e-001
5.126530612244903e-005	-1.732908e+000	4.610239e-001
5.202040816326537e-005	-1.843545e+000	5.024246e-001
5.277551020408171e-005	-1.953176e+000	5.435703e-001
5.353061224489805e-005	-2.061801e+000	5.844612e-001
5.428571428571440e-005	-2.169419e+000	6.250972e-001
5.428571528571439e-005	-2.169419e+000	6.250973e-001
5.428571728571439e-005	-2.169419e+000	6.250973e-001
5.428572128571437e-005	-2.169420e+000	6.250976e-001
5.428572428571436e-005	-2.169420e+000	6.250978e-001
5.428572445438716e-005	-2.169420e+000	6.250978e-001
5.428572479173255e-005	-2.169420e+000	6.250978e-001
5.428572546642332e-005	-2.169420e+000	6.250978e-001
5.428572681580508e-005	-2.169420e+000	6.250979e-001
5.428572831410201e-005	-2.169421e+000	6.250979e-001
5.428572978084518e-005	-2.169421e+000	6.250980e-001
5.428573172939046e-005	-2.169421e+000	6.250981e-001
5.428573462413176e-005	-2.169422e+000	6.250983e-001
5.428574041361437e-005	-2.169422e+000	6.250986e-001
5.428575199257959e-005	-2.169424e+000	6.250992e-001
5.428576251370132e-005	-2.169425e+000	6.250998e-001
5.428577200410610e-005	-2.169427e+000	6.251003e-001
5.428578239559758e-005	-2.169428e+000	6.251009e-001
5.428579413749974e-005	-2.169430e+000	6.251014e-001
5.428580942610194e-005	-2.169432e+000	6.251023e-001
5.428582838624464e-005	-2.169435e+000	6.251033e-001
5.428585395184180e-005	-2.169438e+000	6.251047e-001
5.428589080327994e-005	-2.169444e+000	6.251066e-001
5.428592688843672e-005	-2.169449e+000	6.251086e-001
5.428596130665846e-005	-2.169454e+000	6.251104e-001
5.428598594542995e-005	-2.169457e+000	6.251118e-001
5.428599995212485e-005	-2.169459e+000	6.251125e-001
5.428601369559302e-005	-2.169461e+000	6.251132e-001
5.428603504454622e-005	-2.169464e+000	6.251144e-001
5.428605065121235e-005	-2.169466e+000	6.251152e-001
5.428606741880726e-005	-2.169469e+000	6.251161e-001
5.428609055608364e-005	-2.169472e+000	6.251174e-001
5.428611556463747e-005	-2.169476e+000	6.251187e-001
5.428616558174511e-005	-2.169482e+000	6.251214e-001
5.428623231716503e-005	-2.169492e+000	6.251249e-001
5.428631626149308e-005	-2.169504e+000	6.251294e-001
5.428638358351214e-005	-2.169513e+000	6.251330e-001
5.428645750904493e-005	-2.169524e+000	6.251370e-001
5.428654002904662e-005	-2.169536e+000	6.251414e-001
5.428662505061691e-005	-2.169548e+000	6.251460e-001
5.428672569082337e-005	-2.169562e+000	6.251513e-001
5.428683577761093e-005	-2.169577e+000	6.251572e-001
5.428695109513664e-005	-2.169594e+000	6.251634e-001
5.428707241017993e-005	-2.169611e+000	6.251699e-001
5.428720056461426e-005	-2.169629e+000	6.251767e-001
5.428733029289750e-005	-2.169647e+000	6.251837e-001
5.428753585598012e-005	-2.169677e+000	6.251947e-001
5.428780404282524e-005	-2.169714e+000	6.252090e-001
5.428810511616338e-005	-2.169757e+000	6.252252e-001
5.428848539671023e-005	-2.169811e+000	6.252455e-001
5.428896912477305e-005	-2.169879e+000	6.252714e-001
5.428959659757246e-005	-2.169968e+000	6.253050e-001
5.429026627961015e-005	-2.170063e+000	6.253408e-001
5.429132433681797e-005	-2.170213e+000	6.253974e-001
5.429273019260154e-005	-2.170412e+000	6.254727e-001
5.429432636197161e-005	-2.170637e+000	6.255581e-001
5.429603105668729e-005	-2.170879e+000	6.256493e-001
5.429837082091449e-005	-2.171210e+000	6.257745e-001
5.430093760838543e-005	-2.171573e+000	6.259119e-001
5.430467112281252e-005	-2.172101e+000	6.261117e-001
5.430901104361914e-005	-2.172715e+000	6.263439e-001
5.431622641444167e-005	-2.173736e+000	6.267299e-001
5.432638627168905e-005	-2.175173e+000	6.272734e-001
5.434232430459986e-005	-2.177427e+000	6.281260e-001
5.435743697960451e-005	-2.179564e+000	6.289343e-001
5.437226066622473e-005	-2.181659e+000	6.297269e-001
5.438829912439327e-005	-2.183926e+000	6.305844e-001
5.440333455855768e-005	-2.186050e+000	6.313881e-001
5.441920394121135e-005	-2.188292e+000	6.322362e-001
5.443585621173175e-005	-2.190643e+000	6.331261e-001
5.444984605616310e-005	-2.192618e+000	6.338735e-001
5.446064884277431e-005	-2.194143e+000	6.344506e-001
5.447250312345508e-005	-2.195816e+000	6.350838e-001
5.448503768656823e-005	-2.197585e+000	6.357532e-001
5.449796474586472e-005	-2.199409e+000	6.364434e-001
5.451180415335277e-005	-2.201361e+000	6.371823e-001
5.452593935099579e-005	-2.203354e+000	6.379368e-001
5.454117459243574e-005	-2.205502e+000	6.387500e-001
5.455687658958096e-005	-2.207716e+000	6.395879e-001
5.457508056645505e-005	-2.210281e+000	6.405591e-001
5.459431692207478e-005	-2.212991e+000	6.415852e-001
5.460672252317065e-005	-2.214738e+000	6.422468e-001
5.461829309219113e-005	-2.216367e+000	6.428638e-001
5.463253340113228e-005	-2.218372e+000	6.436231e-001
5.464679958651895e-005	-2.220380e+000	6.443836e-001
5.466191508026884e-005	-2.222507e+000	6.451892e-001
5.467926490573664e-005	-2.224948e+000	6.461138e-001
5.469812591224802e-005	-2.227601e+000	6.471187e-001
5.470823284082420e-005	-2.229022e+000	6.476571e-001
5.471872320480685e-005	-2.230497e+000	6.482158e-001
5.473002589788585e-005	-2.232086e+000	6.488178e-001
5.474222313615667e-005	-2.233800e+000	6.494672e-001
5.475480115311234e-005	-2.235568e+000	6.501369e-001
5.476841766304755e-005	-2.237481e+000	6.508618e-001
5.478250523393582e-005	-2.239460e+000	6.516116e-001
5.479772067572470e-005	-2.241596e+000	6.524213e-001
5.483304475191637e-005	-2.246555e+000	6.543005e-001
5.484690537120259e-005	-2.248499e+000	6.550378e-001
5.485738086835439e-005	-2.249969e+000	6.555948e-001
5.486914616167579e-005	-2.251619e+000	6.562204e-001
5.488325533848596e-005	-2.253598e+000	6.569704e-001
5.489720685434175e-005	-2.255554e+000	6.577120e-001
5.491276826007758e-005	-2.257735e+000	6.585390e-001
5.492933585864146e-005	-2.260057e+000	6.594193e-001
5.494914669269802e-005	-2.262832e+000	6.604717e-001
5.497339256159135e-005	-2.266228e+000	6.617594e-001
5.499999999999993e-005	-2.269953e+000	6.631722e-001
5.500367966499668e-005	-2.270468e+000	6.633675e-001
5.501103899499017e-005	-2.271497e+000	6.637582e-001
5.572507672615295e-005	-2.370836e+000	7.014838e-001
5.600000000000006e-005	-2.408768e+000	7.159358e-001
5.603471027066948e-005	-2.413545e+000	7.177547e-001
5.610413081200811e-005	-2.423089e+000	7.213899e-001
5.701212036719428e-005	-2.547086e+000	7.687372e-001
5.792010992238044e-005	-2.668768e+000	8.153877e-001
5.882809947756661e-005	-2.788137e+000	8.613415e-001
5.973608903275277e-005	-2.905191e+000	9.065985e-001
6.064407858793894e-005	-3.019930e+000	9.511588e-001
6.155206814312510e-005	-3.132356e+000	9.950223e-001
6.246005769831127e-005	-3.242467e+000	1.038189e+000
6.295252652185636e-005	-3.300994e+000	1.061241e+000
6.344499534540145e-005	-3.358697e+000	1.084030e+000
6.393746416894655e-005	-3.415577e+000	1.106557e+000
6.442993299249163e-005	-3.471634e+000	1.128820e+000
6.492240181603673e-005	-3.526867e+000	1.150821e+000
6.541487063958183e-005	-3.581277e+000	1.172559e+000
6.590733946312691e-005	-3.634864e+000	1.194034e+000
6.657646939711907e-005	-3.706303e+000	1.222786e+000
6.724559933111121e-005	-3.776030e+000	1.250978e+000
6.791472926510337e-005	-3.844044e+000	1.278610e+000
6.858385919909553e-005	-3.910345e+000	1.305682e+000
6.925298913308769e-005	-3.974934e+000	1.332193e+000
6.992211906707983e-005	-4.037810e+000	1.358144e+000
7.059124900107199e-005	-4.098974e+000	1.383534e+000
7.122107057234742e-005	-4.154872e+000	1.406905e+000
7.185089214362284e-005	-4.209093e+000	1.429714e+000
7.248071371489827e-005	-4.261637e+000	1.451961e+000
7.311053528617370e-005	-4.312502e+000	1.473646e+000
7.374035685744913e-005	-4.361690e+000	1.494768e+000
7.437017842872455e-005	-4.409200e+000	1.515328e+000
7.499999999999998e-005	-4.455033e+000	1.535326e+000
7.537131878429338e-005	-4.481217e+000	1.546828e+000
7.574263756858676e-005	-4.506783e+000	1.558117e+000
7.611395635288016e-005	-4.531731e+000	1.569195e+000
7.648527513717354e-005	-4.556060e+000	1.580060e+000
7.685659392146694e-005	-4.579772e+000	1.590713e+000
7.722791270576033e-005	-4.602865e+000	1.601153e+000
7.759923149005372e-005	-4.625340e+000	1.611382e+000
7.811425144775783e-005	-4.655476e+000	1.625252e+000
7.862927140546196e-005	-4.684376e+000	1.638692e+000
7.914429136316607e-005	-4.712039e+000	1.651701e+000
7.965931132087018e-005	-4.738466e+000	1.664280e+000
8.017433127857431e-005	-4.763656e+000	1.676428e+000
8.068935123627842e-005	-4.787609e+000	1.688146e+000
