time	V(vin)	V(vout)
0.000000000000000e+000	4.000000e+000	-1.423651e+000
2.142857142857149e-006	3.785714e+000	-1.398764e+000
4.285714285714298e-006	3.571429e+000	-1.368014e+000
6.428571428571447e-006	3.357143e+000	-1.331402e+000
8.571428571428596e-006	3.142857e+000	-1.288927e+000
1.071428571428575e-005	2.928571e+000	-1.240589e+000
1.285714285714289e-005	2.714286e+000	-1.186388e+000
1.500000000000004e-005	2.500000e+000	-1.126324e+000
1.607709893424043e-005	2.392290e+000	-1.094330e+000
1.715419786848081e-005	2.284580e+000	-1.061183e+000
1.823129680272120e-005	2.176870e+000	-1.026884e+000
1.930839573696158e-005	2.069160e+000	-9.914322e-001
2.038549467120197e-005	1.961451e+000	-9.548283e-001
2.146259360544236e-005	1.853741e+000	-9.170722e-001
2.253969253968274e-005	1.746031e+000	-8.781636e-001
2.253969353968274e-005	1.746031e+000	-8.781636e-001
2.253969553968273e-005	1.746030e+000	-8.781635e-001
2.253969953968271e-005	1.746030e+000	-8.781634e-001
2.253970253968270e-005	1.746030e+000	-8.781633e-001
2.253970278099943e-005	1.746030e+000	-8.781633e-001
2.253970326363290e-005	1.746030e+000	-8.781632e-001
2.253970422889983e-005	1.746030e+000	-8.781632e-001
2.253970615943369e-005	1.746029e+000	-8.781632e-001
2.253971002050140e-005	1.746029e+000	-8.781630e-001
2.253971774263705e-005	1.746028e+000	-8.781627e-001
2.253973318690834e-005	1.746027e+000	-8.781621e-001
2.253976407545072e-005	1.746024e+000	-8.781610e-001
2.253980024982064e-005	1.746020e+000	-8.781597e-001
2.253984627083663e-005	1.746015e+000	-8.781580e-001
2.253990235755220e-005	1.746010e+000	-8.781559e-001
2.253999706674581e-005	1.746000e+000	-8.781525e-001
2.254011917129277e-005	1.745988e+000	-8.781481e-001
2.254023605840452e-005	1.745976e+000	-8.781438e-001
2.254025016874221e-005	1.745975e+000	-8.781433e-001
2.254027838941735e-005	1.745972e+000	-8.781422e-001
2.254033483076764e-005	1.745967e+000	-8.781402e-001
