time	V(vin)	V(vout)
0.000000000000000e+000	2.467009e+000	3.438577e-001
4.136430266539481e-008	2.458422e+000	3.469746e-001
1.240929079961844e-007	2.441249e+000	3.532119e-001
2.895501186577637e-007	2.406902e+000	3.657008e-001
4.883003150461460e-007	2.365644e+000	3.807258e-001
7.006267836275667e-007	2.321568e+000	3.968094e-001
1.024198365144483e-006	2.252969e+000	4.213628e-001
1.173674263482155e-006	2.212633e+000	4.327360e-001
1.323150161819826e-006	2.172618e+000	4.441225e-001
1.472626060157498e-006	2.132923e+000	4.555224e-001
1.622101958495170e-006	2.093549e+000	4.669357e-001
1.771577856832842e-006	2.054494e+000	4.783623e-001
1.921053755170513e-006	2.015759e+000	4.898023e-001
2.070529653508185e-006	1.977345e+000	5.012556e-001
2.218834035195644e-006	1.943810e+000	5.126348e-001
2.367138416883102e-006	1.910950e+000	5.240255e-001
2.515442798570561e-006	1.878765e+000	5.354277e-001
2.663747180258019e-006	1.847256e+000	5.468415e-001
2.812051561945478e-006	1.816421e+000	5.582667e-001
2.960355943632937e-006	1.786261e+000	5.697034e-001
3.108660325320395e-006	1.756776e+000	5.811516e-001
3.251382458367306e-006	1.734391e+000	5.921818e-001
3.394104591414216e-006	1.711253e+000	6.032210e-001
3.536826724461127e-006	1.687360e+000	6.142695e-001
3.679548857508038e-006	1.662714e+000	6.253270e-001
3.822270990554949e-006	1.637313e+000	6.363937e-001
3.964993123601859e-006	1.611159e+000	6.474696e-001
4.107715256648770e-006	1.584251e+000	6.585546e-001
4.385016002960903e-006	1.522487e+000	6.801230e-001
4.662316749273035e-006	1.460239e+000	7.017184e-001
4.939617495585168e-006	1.397508e+000	7.233410e-001
5.216918241897301e-006	1.334293e+000	7.449906e-001
5.494218988209435e-006	1.270595e+000	7.666673e-001
5.771519734521567e-006	1.206413e+000	7.883710e-001
6.048820480833699e-006	1.141747e+000	8.101018e-001
7.032243822942437e-006	8.598595e-001	8.873212e-001
8.021109842690916e-006	6.308935e-001	9.651704e-001
8.161450901775788e-006	6.062752e-001	9.762317e-001
8.301791960860661e-006	5.816250e-001	9.872948e-001
8.442133019945534e-006	5.569431e-001	9.983598e-001
8.582474079030407e-006	5.322293e-001	1.009427e+000
8.722815138115280e-006	5.074837e-001	1.020495e+000
8.863156197200153e-006	4.827063e-001	1.031565e+000
9.003497256285025e-006	4.578971e-001	1.042638e+000
9.031212674165815e-006	4.497514e-001	1.044824e+000
9.058928092046607e-006	4.416057e-001	1.047011e+000
9.086643509927397e-006	4.334600e-001	1.049198e+000
9.114358927808188e-006	4.253142e-001	1.051385e+000
9.142074345688978e-006	4.171685e-001	1.053571e+000
9.169789763569770e-006	4.090228e-001	1.055758e+000
9.197505181450559e-006	4.008770e-001	1.057945e+000
1.000000000000003e-005	1.650190e-001	1.121274e+000
1.005781886771946e-005	1.513994e-001	1.125836e+000
1.017813043038569e-005	1.230593e-001	1.135331e+000
1.070622539353226e-005	-1.336629e-003	1.176995e+000
1.103565424569332e-005	-7.905285e-002	1.202983e+000
1.136508309785437e-005	-1.566506e-001	1.228953e+000
1.169451195001542e-005	-2.341298e-001	1.254905e+000
1.202394080217648e-005	-3.114906e-001	1.280841e+000
1.235336965433753e-005	-3.887328e-001	1.306759e+000
1.268279850649859e-005	-4.658566e-001	1.332660e+000
1.301222735865964e-005	-5.428619e-001	1.358544e+000
1.312066422024409e-005	-5.618659e-001	1.367056e+000
1.322910108182854e-005	-5.808700e-001	1.375565e+000
1.333753794341298e-005	-5.998740e-001	1.384070e+000
1.344597480499743e-005	-6.188781e-001	1.392571e+000
1.355441166658188e-005	-6.378821e-001	1.401069e+000
1.366284852816633e-005	-6.568862e-001	1.409564e+000
1.377128538975077e-005	-6.758902e-001	1.418055e+000
1.400905751435043e-005	-7.185997e-001	1.436667e+000
1.405063779424544e-005	-7.306555e-001	1.439919e+000
1.409221807414046e-005	-7.427114e-001	1.443171e+000
1.413379835403548e-005	-7.547672e-001	1.446422e+000
1.417537863393049e-005	-7.668231e-001	1.449672e+000
1.421695891382551e-005	-7.788790e-001	1.452922e+000
1.425853919372052e-005	-7.909348e-001	1.456171e+000
1.430011947361554e-005	-8.029907e-001	1.459419e+000
1.502487949571886e-005	-1.011632e+000	1.515944e+000
1.605118513040081e-005	-1.244417e+000	1.595616e+000
1.617707769913991e-005	-1.265860e+000	1.605356e+000
1.619048619047625e-005	-1.268144e+000	1.606393e+000
1.620542000432086e-005	-1.270688e+000	1.607548e+000
1.620564519307956e-005	-1.270726e+000	1.607565e+000
1.633566277805783e-005	-1.292872e+000	1.617614e+000
1.633855255292515e-005	-1.293364e+000	1.617837e+000
1.633922160757060e-005	-1.293478e+000	1.617889e+000
1.633960298647605e-005	-1.293543e+000	1.617918e+000
1.633983231711343e-005	-1.293582e+000	1.617936e+000
1.633996362869266e-005	-1.293604e+000	1.617946e+000
1.634011843742360e-005	-1.293631e+000	1.617958e+000
1.634030385256886e-005	-1.293662e+000	1.617972e+000
1.634364132518469e-005	-1.294231e+000	1.618230e+000
1.634697879780051e-005	-1.294799e+000	1.618488e+000
1.635031627041634e-005	-1.295368e+000	1.618746e+000
1.635365374303216e-005	-1.295936e+000	1.619004e+000
1.635699121564799e-005	-1.296505e+000	1.619262e+000
1.636032868826381e-005	-1.297073e+000	1.619519e+000
1.636366616087964e-005	-1.297642e+000	1.619777e+000
1.637794299552361e-005	-1.300073e+000	1.620880e+000
1.639318799595557e-005	-1.302670e+000	1.622057e+000
1.641022381927053e-005	-1.305572e+000	1.623373e+000
1.643137740693222e-005	-1.309175e+000	1.625006e+000
1.646349383486729e-005	-1.314645e+000	1.627485e+000
1.648862739430193e-005	-1.318926e+000	1.629425e+000
1.651647135307664e-005	-1.323668e+000	1.631574e+000
1.654832322429576e-005	-1.329094e+000	1.634032e+000
1.658715463309494e-005	-1.335708e+000	1.637027e+000
1.664507099262478e-005	-1.345573e+000	1.641493e+000
1.672086447037095e-005	-1.358482e+000	1.647334e+000
1.680984647141250e-005	-1.373639e+000	1.654188e+000
1.694267661889442e-005	-1.396263e+000	1.664413e+000
1.700768633337282e-005	-1.407752e+000	1.669415e+000
1.706119063721963e-005	-1.419761e+000	1.673529e+000
1.712767588895508e-005	-1.434684e+000	1.678638e+000
1.717327508071699e-005	-1.444919e+000	1.682141e+000
1.723194818751671e-005	-1.458088e+000	1.686646e+000
1.728846922680917e-005	-1.470774e+000	1.690985e+000
1.739070930363833e-005	-1.493722e+000	1.698826e+000
1.756271571001929e-005	-1.532328e+000	1.712005e+000
1.775197311058461e-005	-1.574807e+000	1.726486e+000
1.800000000000000e-005	-1.630477e+000	1.745441e+000
1.826496036079158e-005	-1.688988e+000	1.765633e+000
1.873227054900012e-005	-1.792185e+000	1.801141e+000
1.892100188451799e-005	-1.836848e+000	1.815446e+000
1.910973322003585e-005	-1.882831e+000	1.829725e+000
1.929846455555371e-005	-1.930134e+000	1.843978e+000
1.948719589107158e-005	-1.978757e+000	1.858203e+000
1.967592722658944e-005	-2.028699e+000	1.872401e+000
1.986465856210730e-005	-2.079962e+000	1.886573e+000
2.005338989762517e-005	-2.132545e+000	1.900718e+000
2.023318584569900e-005	-2.174256e+000	1.914167e+000
2.041298179377283e-005	-2.213886e+000	1.927591e+000
2.059277774184667e-005	-2.251435e+000	1.940987e+000
2.077257368992050e-005	-2.286903e+000	1.954357e+000
2.095236963799434e-005	-2.320290e+000	1.967700e+000
2.113216558606817e-005	-2.351595e+000	1.981017e+000
2.131196153414201e-005	-2.380819e+000	1.994307e+000
2.159707469983910e-005	-2.424855e+000	2.015327e+000
2.188218786553620e-005	-2.471742e+000	2.036270e+000
2.216730103123329e-005	-2.521481e+000	2.057135e+000
2.245241419693038e-005	-2.574072e+000	2.077924e+000
2.273752736262747e-005	-2.629514e+000	2.098636e+000
2.302264052832457e-005	-2.687807e+000	2.119271e+000
2.330775369402166e-005	-2.748952e+000	2.139828e+000
2.356707036827908e-005	-2.800069e+000	2.158458e+000
2.382638704253649e-005	-2.852848e+000	2.177016e+000
2.408570371679390e-005	-2.907288e+000	2.195501e+000
2.434502039105131e-005	-2.963390e+000	2.213913e+000
2.460433706530873e-005	-3.021154e+000	2.232252e+000
2.486365373956614e-005	-3.080579e+000	2.250519e+000
2.512297041382355e-005	-3.141666e+000	2.268713e+000
2.540230952799628e-005	-3.193994e+000	2.288225e+000
2.568164864216902e-005	-3.243430e+000	2.307644e+000
2.596098775634175e-005	-3.289975e+000	2.326969e+000
2.624032687051448e-005	-3.333629e+000	2.346200e+000
2.651966598468722e-005	-3.374392e+000	2.365338e+000
2.679900509885995e-005	-3.412263e+000	2.384382e+000
2.707834421303268e-005	-3.447243e+000	2.403332e+000
2.753065995166404e-005	-3.539615e+000	2.433811e+000
2.798297569029539e-005	-3.626547e+000	2.464009e+000
2.843529142892674e-005	-3.708040e+000	2.493927e+000
2.888760716755809e-005	-3.784094e+000	2.523565e+000
2.933992290618944e-005	-3.854709e+000	2.552922e+000
2.979223864482079e-005	-3.919884e+000	2.581999e+000
3.024455438345214e-005	-3.979620e+000	2.610796e+000
3.052014423427959e-005	-4.018556e+000	2.628187e+000
3.079573408510703e-005	-4.055566e+000	2.645462e+000
3.107132393593448e-005	-4.090652e+000	2.662620e+000
3.134691378676193e-005	-4.123812e+000	2.679662e+000
3.162250363758938e-005	-4.155047e+000	2.696588e+000
3.189809348841682e-005	-4.184357e+000	2.713398e+000
3.217368333924427e-005	-4.211742e+000	2.730092e+000
3.262603683699357e-005	-4.280240e+000	2.757235e+000
3.307839033474286e-005	-4.342537e+000	2.784034e+000
3.353074383249216e-005	-4.398632e+000	2.810488e+000
3.398309733024144e-005	-4.448525e+000	2.836599e+000
3.443545082799074e-005	-4.492216e+000	2.862365e+000
3.488780432574004e-005	-4.529706e+000	2.887788e+000
3.534015782348933e-005	-4.560994e+000	2.912866e+000
3.600584956299084e-005	-4.628951e+000	2.949131e+000
3.667154130249235e-005	-4.690309e+000	2.984557e+000
3.733723304199386e-005	-4.745069e+000	3.019144e+000
3.800292478149537e-005	-4.793230e+000	3.052892e+000
3.866861652099687e-005	-4.834792e+000	3.085801e+000
3.933430826049838e-005	-4.869756e+000	3.117870e+000
3.999999999999989e-005	-4.898120e+000	3.149101e+000
4.083681291164435e-005	-4.935002e+000	3.187115e+000
4.167362582328881e-005	-4.963506e+000	3.223637e+000
