time	V(vin)	V(vout)
0.000000000000000e+000	4.000000e+000	-2.299172e+000
6.799696922155877e-007	3.932003e+000	-2.321954e+000
1.233132465902403e-006	3.876687e+000	-2.339823e+000
1.780350785824301e-006	3.821965e+000	-2.356787e+000
2.327569105746200e-006	3.767243e+000	-2.373057e+000
2.874787425668098e-006	3.712521e+000	-2.388634e+000
3.422005745589996e-006	3.657799e+000	-2.403517e+000
3.969224065511895e-006	3.603078e+000	-2.417706e+000
4.516442385433792e-006	3.548356e+000	-2.431202e+000
5.063660705355690e-006	3.493634e+000	-2.444004e+000
6.381970232134616e-006	3.361803e+000	-2.471850e+000
6.666676666666717e-006	3.333332e+000	-2.477339e+000
6.748793064381524e-006	3.325121e+000	-2.478896e+000
6.750158160111989e-006	3.324984e+000	-2.478921e+000
6.851553706328176e-006	3.314845e+000	-2.480804e+000
6.853041749738673e-006	3.314696e+000	-2.480831e+000
6.853881212566483e-006	3.314612e+000	-2.480847e+000
6.854375374219920e-006	3.314563e+000	-2.480856e+000
6.854541643153004e-006	3.314546e+000	-2.480859e+000
6.854673760635323e-006	3.314533e+000	-2.480861e+000
6.854730923157651e-006	3.314527e+000	-2.480862e+000
6.854801478774122e-006	3.314520e+000	-2.480864e+000
6.854867456700586e-006	3.314513e+000	-2.480865e+000
6.854999412553514e-006	3.314500e+000	-2.480867e+000
6.855159860182656e-006	3.314484e+000	-2.480870e+000
6.855431446078789e-006	3.314457e+000	-2.480875e+000
6.855808450968769e-006	3.314419e+000	-2.480882e+000
6.858070480308433e-006	3.314193e+000	-2.480924e+000
6.861086519427840e-006	3.313891e+000	-2.480979e+000
6.867118597666871e-006	3.313288e+000	-2.481090e+000
6.879182754144717e-006	3.312082e+000	-2.481312e+000
6.893398294746580e-006	3.310660e+000	-2.481573e+000
6.907962958258278e-006	3.309204e+000	-2.481840e+000
6.939556818940859e-006	3.306044e+000	-2.482417e+000
6.986471093430166e-006	3.301353e+000	-2.483269e+000
7.006224806762803e-006	3.299378e+000	-2.483627e+000
7.025978520095439e-006	3.297402e+000	-2.483983e+000
7.045732233428076e-006	3.295427e+000	-2.484339e+000
7.065485946760712e-006	3.293451e+000	-2.484693e+000
7.085239660093349e-006	3.291476e+000	-2.485046e+000
7.104993373425985e-006	3.289501e+000	-2.485398e+000
7.124747086758622e-006	3.287525e+000	-2.485749e+000
7.200597760455675e-006	3.279940e+000	-2.487090e+000
7.274354374757876e-006	3.272565e+000	-2.488381e+000
7.360550849970548e-006	3.263945e+000	-2.489868e+000
7.528482162357702e-006	3.247152e+000	-2.492716e+000
7.702962646062963e-006	3.229704e+000	-2.495597e+000
7.999999999999978e-006	3.200000e+000	-2.500387e+000
8.098292059230319e-006	3.190171e+000	-2.501909e+000
8.229348138204034e-006	3.177065e+000	-2.503893e+000
8.491460296151682e-006	3.150854e+000	-2.507708e+000
8.999999999999894e-006	3.100000e+000	-2.514829e+000
9.657317483344704e-006	3.034268e+000	-2.522990e+000
1.031463496668952e-005	2.968536e+000	-2.530080e+000
1.097195245003433e-005	2.902805e+000	-2.536100e+000
1.162926993337914e-005	2.837073e+000	-2.541050e+000
1.228658741672395e-005	2.771341e+000	-2.544929e+000
1.294390490006876e-005	2.705610e+000	-2.547738e+000
1.360122238341357e-005	2.639878e+000	-2.549477e+000
1.501768291362265e-005	2.498232e+000	-2.549589e+000
1.643414344383172e-005	2.356586e+000	-2.544744e+000
1.785060397404079e-005	2.214940e+000	-2.534943e+000
1.926706450424987e-005	2.073294e+000	-2.520185e+000
2.068352503445894e-005	1.931648e+000	-2.500471e+000
2.209998556466802e-005	1.790001e+000	-2.475800e+000
2.351644609487709e-005	1.648355e+000	-2.446173e+000
2.530883997323028e-005	1.469116e+000	-2.401485e+000
2.710123385158348e-005	1.289877e+000	-2.349688e+000
2.889362772993668e-005	1.110637e+000	-2.290782e+000
3.068602160828988e-005	9.313979e-001	-2.224766e+000
3.247841548664308e-005	7.521585e-001	-2.151640e+000
