time	V(vin)	V(vout)
0.000000000000000e+000	4.810715e+000	5.228660e-001
1.749432445808872e-007	4.842471e+000	5.228518e-001
3.498864891617743e-007	4.870890e+000	5.228376e-001
5.248297337426616e-007	4.895972e+000	5.228236e-001
6.997729783235487e-007	4.917716e+000	5.228096e-001
8.747162229044358e-007	4.936122e+000	5.227958e-001
1.049659467485323e-006	4.951191e+000	5.227820e-001
1.224602712066210e-006	4.962923e+000	5.227683e-001
1.362999428415934e-006	4.972356e+000	5.227576e-001
1.501396144765659e-006	4.978709e+000	5.227469e-001
1.639792861115384e-006	4.981980e+000	5.227362e-001
1.778189577465108e-006	4.982169e+000	5.227257e-001
1.916586293814833e-006	4.979278e+000	5.227152e-001
2.054983010164557e-006	4.973304e+000	5.227048e-001
2.193379726514282e-006	4.964250e+000	5.226944e-001
2.469539077789366e-006	4.943921e+000	5.226739e-001
2.745698429064451e-006	4.918100e+000	5.226536e-001
3.021857780339536e-006	4.886788e+000	5.226336e-001
3.298017131614621e-006	4.849986e+000	5.226138e-001
3.574176482889705e-006	4.807692e+000	5.225943e-001
3.850335834164791e-006	4.759907e+000	5.225750e-001
4.126495185439874e-006	4.706632e+000	5.225560e-001
4.284592219896557e-006	4.666476e+000	5.225452e-001
4.442689254353239e-006	4.623612e+000	5.225345e-001
4.600786288809921e-006	4.578040e+000	5.225239e-001
4.758883323266604e-006	4.529760e+000	5.225134e-001
4.916980357723285e-006	4.478771e+000	5.225029e-001
5.075077392179968e-006	4.425074e+000	5.224926e-001
5.233174426636650e-006	4.368668e+000	5.224823e-001
5.351687677868653e-006	4.326585e+000	5.224747e-001
5.470200929100656e-006	4.282737e+000	5.224672e-001
5.588714180332658e-006	4.237124e+000	5.224596e-001
5.707227431564661e-006	4.189747e+000	5.224521e-001
5.825740682796664e-006	4.140605e+000	5.224447e-001
5.944253934028667e-006	4.089699e+000	5.224372e-001
6.062767185260670e-006	4.037027e+000	5.224298e-001
6.679125885596972e-006	3.662703e+000	5.223924e-001
6.884505528522101e-006	3.538973e+000	5.223802e-001
7.089885171447231e-006	3.417743e+000	5.223681e-001
