time	V(vin)	V(vout)
0.000000000000000e+000	3.950775e+000	-1.805727e-002
4.767003621581784e-007	4.091539e+000	-1.781656e-002
9.534007243163568e-007	4.222535e+000	-1.757209e-002
1.430101086474535e-006	4.343763e+000	-1.732386e-002
1.906801448632714e-006	4.455224e+000	-1.707187e-002
2.383501810790892e-006	4.556916e+000	-1.681611e-002
2.860202172949070e-006	4.648841e+000	-1.655660e-002
3.336902535107248e-006	4.730999e+000	-1.629333e-002
3.514661001102319e-006	4.758747e+000	-1.619438e-002
3.692419467097391e-006	4.785004e+000	-1.609491e-002
3.870177933092462e-006	4.809768e+000	-1.599491e-002
4.047936399087534e-006	4.833039e+000	-1.589439e-002
4.225694865082606e-006	4.854818e+000	-1.579334e-002
4.403453331077677e-006	4.875105e+000	-1.569175e-002
4.581211797072748e-006	4.893899e+000	-1.558965e-002
5.057351759076879e-006	4.936726e+000	-1.531474e-002
6.031876702590174e-006	4.990138e+000	-1.474104e-002
6.678891277496013e-006	4.999996e+000	-1.435279e-002
6.888636256294955e-006	4.998788e+000	-1.422565e-002
7.098381235093897e-006	4.995433e+000	-1.409795e-002
7.308126213892838e-006	4.989929e+000	-1.396968e-002
7.517871192691780e-006	4.982278e+000	-1.384086e-002
7.727616171490722e-006	4.972479e+000	-1.371146e-002
7.937361150289664e-006	4.960532e+000	-1.358151e-002
8.147106129088606e-006	4.946437e+000	-1.345099e-002
8.999999999999894e-006	4.867296e+000	-1.291464e-002
1.000000000000003e-005	4.730427e+000	-1.227464e-002
1.022579626978079e-005	4.692996e+000	-1.212852e-002
1.045159253956155e-005	4.653278e+000	-1.198184e-002
1.067738880934231e-005	4.611273e+000	-1.183459e-002
1.090318507912308e-005	4.566981e+000	-1.168678e-002
1.112898134890384e-005	4.520402e+000	-1.153841e-002
1.135477761868460e-005	4.471537e+000	-1.138948e-002
1.158057388846536e-005	4.420385e+000	-1.123998e-002
1.215845604357157e-005	4.279602e+000	-1.085550e-002
1.299999999999999e-005	4.049696e+000	-1.028951e-002
1.399999999999991e-005	3.740149e+000	-9.608399e-003
1.500000000000004e-005	3.394004e+000	-8.918767e-003
1.599999999999996e-005	3.014648e+000	-8.221324e-003
1.707469956795105e-005	2.574177e+000	-7.463865e-003
1.739776464523577e-005	2.435485e+000	-7.234630e-003
1.772082972252050e-005	2.294667e+000	-7.004825e-003
1.804389479980523e-005	2.151723e+000	-6.774450e-003
1.836695987708996e-005	2.006654e+000	-6.543506e-003
1.869002495437469e-005	1.859458e+000	-6.311993e-003
1.901309003165941e-005	1.710137e+000	-6.079909e-003
1.933615510894414e-005	1.558690e+000	-5.847257e-003
2.000000000000005e-005	1.243449e+000	-5.367877e-003
2.000001000000001e-005	1.243445e+000	-5.367870e-003
2.105142491529632e-005	7.337319e-001	-4.604817e-003
2.224285714285713e-005	1.468483e-001	-3.735636e-003
2.225634920634918e-005	1.401752e-001	-3.725770e-003
2.228333333333327e-005	1.268282e-001	-3.706037e-003
2.231020869411212e-005	1.135341e-001	-3.686382e-003
2.233942267824843e-005	9.908226e-002	-3.665013e-003
2.244426945310712e-005	4.720977e-002	-3.588306e-003
2.253968253968278e-005	4.930428e-011	-3.518484e-003
2.254922384834022e-005	-4.721047e-003	-3.511500e-003
2.256830646565531e-005	-1.416312e-002	-3.497531e-003
2.268280216954585e-005	-7.081334e-002	-3.413699e-003
2.283546310806657e-005	-1.463316e-001	-3.301878e-003
2.300000000000002e-005	-2.276867e-001	-3.181325e-003
2.302683803274367e-005	-2.409516e-001	-3.161652e-003
2.308051409823076e-005	-2.674762e-001	-3.122304e-003
2.318786622920515e-005	-3.205020e-001	-3.043590e-003
2.332352123999930e-005	-3.874552e-001	-2.944096e-003
2.348393913815432e-005	-4.665393e-001	-2.826395e-003
2.373198153983696e-005	-5.885826e-001	-2.644323e-003
2.399999999999993e-005	-7.200539e-001	-2.447521e-003
2.414882544100948e-005	-7.928445e-001	-2.338180e-003
2.434725936235568e-005	-8.896285e-001	-2.192349e-003
2.474412720504787e-005	-1.082130e+000	-1.900603e-003
2.500000000000007e-005	-1.205375e+000	-1.712461e-003
2.523812070561534e-005	-1.319377e+000	-1.537318e-003
2.555561497976917e-005	-1.470230e+000	-1.303773e-003
2.606349885483071e-005	-1.708464e+000	-9.301681e-004
2.644449198381527e-005	-1.884377e+000	-6.499562e-004
2.699999999999990e-005	-2.136000e+000	-2.414976e-004
2.729737421272074e-005	-2.268374e+000	-2.292367e-005
2.759474842544159e-005	-2.398506e+000	1.955048e-004
2.789212263816243e-005	-2.526396e+000	4.137879e-004
2.818949685088328e-005	-2.652044e+000	6.319256e-004
2.848687106360412e-005	-2.775450e+000	8.499179e-004
2.878424527632497e-005	-2.896615e+000	1.067765e-003
2.908161948904581e-005	-3.015538e+000	1.285466e-003
2.935567384775355e-005	-3.122770e+000	1.485878e-003
2.962972820646129e-005	-3.227518e+000	1.686062e-003
2.990378256516903e-005	-3.329780e+000	1.886019e-003
3.017783692387677e-005	-3.429556e+000	2.085747e-003
3.045189128258451e-005	-3.526847e+000	2.285248e-003
3.072594564129226e-005	-3.621652e+000	2.484521e-003
3.100000000000000e-005	-3.713972e+000	2.683565e-003
3.199999999999991e-005	-4.026539e+000	3.407147e-003
3.300000000000004e-005	-4.299707e+000	4.126253e-003
3.399999999999996e-005	-4.530801e+000	4.840187e-003
3.499999999999988e-005	-4.717561e+000	5.548264e-003
3.600000999999997e-005	-4.858160e+000	6.249823e-003
3.600001240000009e-005	-4.858160e+000	6.249824e-003
3.600001560000003e-005	-4.858160e+000	6.249826e-003
3.600002000000015e-005	-4.858161e+000	6.249830e-003
3.600151787427987e-005	-4.858336e+000	6.250875e-003
3.600301574855958e-005	-4.858511e+000	6.251921e-003
3.600451362283930e-005	-4.858686e+000	6.252966e-003
3.600601149711902e-005	-4.858861e+000	6.254012e-003
3.600750937139874e-005	-4.859036e+000	6.255057e-003
3.600900724567846e-005	-4.859211e+000	6.256103e-003
3.601050511995818e-005	-4.859385e+000	6.257148e-003
3.602099087991620e-005	-4.860605e+000	6.264467e-003
3.604196239983246e-005	-4.863027e+000	6.279101e-003
3.607821395667284e-005	-4.867166e+000	6.304389e-003
3.613564851975186e-005	-4.873594e+000	6.344441e-003
3.614288072603298e-005	-4.874393e+000	6.349483e-003
3.618627396372010e-005	-4.879130e+000	6.379719e-003
3.624413161396945e-005	-4.885306e+000	6.420008e-003
3.635984691446837e-005	-4.897179e+000	6.500517e-003
3.648213670186099e-005	-4.909028e+000	6.585494e-003
3.664874195623107e-005	-4.924014e+000	6.701083e-003
3.682251681250527e-005	-4.938219e+000	6.821434e-003
3.699999999999992e-005	-4.951219e+000	6.944176e-003
3.707000352417222e-005	-4.955926e+000	6.992487e-003
3.716334155640187e-005	-4.961833e+000	7.056828e-003
3.735001762086116e-005	-4.972377e+000	7.185306e-003
3.757208033347515e-005	-4.982709e+000	7.337716e-003
3.800000000000006e-005	-4.995831e+000	7.630676e-003
3.842106260401211e-005	-4.999998e+000	7.917223e-003
3.851272697487936e-005	-4.999755e+000	7.979376e-003
3.860439134574660e-005	-4.999100e+000	8.041462e-003
3.869605571661385e-005	-4.998034e+000	8.103481e-003
3.878772008748110e-005	-4.996557e+000	8.165432e-003
3.887938445834835e-005	-4.994669e+000	8.227316e-003
3.897104882921559e-005	-4.992370e+000	8.289134e-003
3.906271320008284e-005	-4.989659e+000	8.350884e-003
3.934669849147925e-005	-4.978617e+000	8.541622e-003
3.963068378287566e-005	-4.963681e+000	8.731581e-003
3.991466907427207e-005	-4.944852e+000	8.920761e-003
4.019865436566849e-005	-4.922129e+000	9.109162e-003
4.048263965706490e-005	-4.895513e+000	9.296785e-003
4.076662494846131e-005	-4.865003e+000	9.483628e-003
4.105061023985772e-005	-4.830600e+000	9.669693e-003
4.134510686663947e-005	-4.790842e+000	9.861682e-003
4.163960349342122e-005	-4.747118e+000	1.005273e-002
4.193410012020297e-005	-4.699427e+000	1.024283e-002
4.222859674698472e-005	-4.647768e+000	1.043199e-002
4.252309337376648e-005	-4.592143e+000	1.062021e-002
4.281759000054822e-005	-4.532550e+000	1.080748e-002
4.311208662732997e-005	-4.468991e+000	1.099381e-002
4.339018156922101e-005	-4.405457e+000	1.116874e-002
4.366827651111205e-005	-4.338721e+000	1.134275e-002
4.394637145300309e-005	-4.268784e+000	1.151583e-002
4.422446639489414e-005	-4.195645e+000	1.168799e-002
4.450256133678518e-005	-4.119305e+000	1.185923e-002
4.478065627867621e-005	-4.039762e+000	1.202955e-002
4.505875122056725e-005	-3.957018e+000	1.219894e-002
4.534522653911441e-005	-3.868597e+000	1.237228e-002
4.563170185766155e-005	-3.777258e+000	1.254455e-002
4.591817717620871e-005	-3.682999e+000	1.271575e-002
4.620465249475586e-005	-3.585823e+000	1.288589e-002
4.649112781330301e-005	-3.485728e+000	1.305496e-002
4.677760313185016e-005	-3.382714e+000	1.322296e-002
4.706407845039731e-005	-3.276782e+000	1.338989e-002
4.735148669148703e-005	-3.167827e+000	1.355609e-002
4.763889493257676e-005	-3.056540e+000	1.372113e-002
4.792630317366648e-005	-2.942920e+000	1.388501e-002
4.821371141475621e-005	-2.826968e+000	1.404773e-002
4.850111965584593e-005	-2.708682e+000	1.420929e-002
4.878852789693565e-005	-2.588064e+000	1.436969e-002
4.907593613802538e-005	-2.465113e+000	1.452893e-002
4.999999999999991e-005	-2.057572e+000	1.503232e-002
5.105084067940518e-005	-1.573420e+000	1.558879e-002
5.199999999999996e-005	-1.121354e+000	1.607657e-002
5.299999999999988e-005	-6.344575e-001	1.657465e-002
5.400000000000001e-005	-1.413528e-001	1.705615e-002
5.428571428571440e-005	-4.959932e-011	1.719062e-002
5.499999999999993e-005	3.531349e-001	1.752068e-002
5.600000000000006e-005	8.441672e-001	1.796779e-002
5.699999999999998e-005	1.326939e+000	1.839711e-002
5.799999999999989e-005	1.796727e+000	1.880825e-002
5.818060768126698e-005	1.879905e+000	1.888047e-002
5.836121536253406e-005	1.962415e+000	1.895209e-002
5.854182304380114e-005	2.044256e+000	1.902312e-002
5.872243072506823e-005	2.125428e+000	1.909356e-002
5.890303840633531e-005	2.205931e+000	1.916340e-002
5.908364608760239e-005	2.285766e+000	1.923265e-002
5.926425376886948e-005	2.364932e+000	1.930130e-002
5.999999999999994e-005	2.679134e+000	1.957486e-002
6.000001000000012e-005	2.679138e+000	1.957487e-002
6.105142473037837e-005	3.103111e+000	1.994745e-002
6.119718309045776e-005	3.159364e+000	1.999721e-002
6.134294145053714e-005	3.214932e+000	2.004663e-002
6.148869981061652e-005	3.269815e+000	2.009571e-002
6.163445817069591e-005	3.324012e+000	2.014443e-002
6.178021653077529e-005	3.377524e+000	2.019280e-002
6.192597489085468e-005	3.430350e+000	2.024083e-002
6.207173325093406e-005	3.482491e+000	2.028851e-002
6.224535871810258e-005	3.543620e+000	2.034456e-002
6.225289845942757e-005	3.546251e+000	2.034697e-002
6.226291016346174e-005	3.549741e+000	2.035019e-002
6.226828824685768e-005	3.551615e+000	2.035191e-002
6.227451658064455e-005	3.553783e+000	2.035391e-002
6.228239036272878e-005	3.556523e+000	2.035643e-002
6.229813792689703e-005	3.561995e+000	2.036147e-002
6.232963305523353e-005	3.572914e+000	2.037152e-002
6.239052947671795e-005	3.593928e+000	2.039091e-002
6.248202580039436e-005	3.625255e+000	2.041991e-002
6.259340423395436e-005	3.662988e+000	2.045501e-002
6.270689166410891e-005	3.700978e+000	2.049046e-002
6.293386652441823e-005	3.775552e+000	2.056079e-002
6.299999999999991e-005	3.796924e+000	2.058115e-002
6.302248007136356e-005	3.804152e+000	2.058801e-002
6.306744021409086e-005	3.818551e+000	2.060172e-002
6.315736049954568e-005	3.847122e+000	2.062900e-002
6.343784534441617e-005	3.934276e+000	2.071307e-002
6.366022598948981e-005	4.001224e+000	2.077849e-002
6.400000000000004e-005	4.099761e+000	2.087723e-002
6.413342838704423e-005	4.137194e+000	2.091512e-002
6.431133290310314e-005	4.185983e+000	2.096503e-002
6.462143372070253e-005	4.267914e+000	2.105052e-002
6.499999999999995e-005	4.362480e+000	2.115324e-002
6.518606049055946e-005	4.406722e+000	2.120217e-002
6.543414114463901e-005	4.463385e+000	2.126642e-002
6.568413692326167e-005	4.517764e+000	2.132998e-002
6.600000000000009e-005	4.582512e+000	2.140897e-002
6.614999746717368e-005	4.611696e+000	2.144545e-002
6.634999409007181e-005	4.649026e+000	2.149341e-002
6.657624327032017e-005	4.689060e+000	2.154657e-002
6.704524983604959e-005	4.764541e+000	2.165442e-002
6.731674885234774e-005	4.803556e+000	2.171434e-002
6.752364257382368e-005	4.830960e+000	2.175886e-002
6.804328074679349e-005	4.890836e+000	2.186783e-002
6.845376199032653e-005	4.928999e+000	2.194935e-002
6.870004995996248e-005	4.948014e+000	2.199680e-002
6.894633792959844e-005	4.964070e+000	2.204299e-002
6.919262589923439e-005	4.977169e+000	2.208790e-002
6.943891386887034e-005	4.987311e+000	2.213155e-002
6.968520183850630e-005	4.994495e+000	2.217393e-002
6.993148980814225e-005	4.998722e+000	2.221504e-002
7.017777777777821e-005	4.999991e+000	2.225488e-002
7.103771355483884e-005	4.981096e+000	2.238392e-002
7.131804018986185e-005	4.967083e+000	2.242252e-002
7.159836682488487e-005	4.949292e+000	2.245951e-002
7.187869345990788e-005	4.927721e+000	2.249488e-002
7.215902009493089e-005	4.902372e+000	2.252864e-002
7.243934672995390e-005	4.873245e+000	2.256077e-002
7.271967336497692e-005	4.840339e+000	2.259129e-002
7.299999999999993e-005	4.803654e+000	2.262020e-002
7.400000000000006e-005	4.643077e+000	2.270943e-002
7.499999999999998e-005	4.437067e+000	2.277758e-002
7.600001000000007e-005	4.187637e+000	2.282468e-002
7.600001240000019e-005	4.187637e+000	2.282468e-002
7.600001560000035e-005	4.187636e+000	2.282468e-002
7.600002000000025e-005	4.187635e+000	2.282468e-002
7.600151787431244e-005	4.187230e+000	2.282474e-002
7.600301574862461e-005	4.186825e+000	2.282479e-002
7.600451362293680e-005	4.186419e+000	2.282485e-002
7.600601149724899e-005	4.186014e+000	2.282490e-002
