time	V(vin)	V(vout)
0.000000000000000e+000	-5.000000e+000	3.658457e+000
9.999999999999159e-007	-4.999383e+000	3.684654e+000
2.000000000000049e-006	-4.997533e+000	3.706830e+000
2.999999999999965e-006	-4.994449e+000	3.724771e+000
3.999999999999880e-006	-4.990134e+000	3.738352e+000
5.000000000000013e-006	-4.984587e+000	3.747420e+000
5.165796867029573e-006	-4.983548e+000	3.748429e+000
5.331593734059133e-006	-4.982476e+000	3.749324e+000
5.497390601088693e-006	-4.981370e+000	3.750107e+000
5.663187468118253e-006	-4.980230e+000	3.750777e+000
5.828984335147812e-006	-4.979056e+000	3.751334e+000
5.994781202177372e-006	-4.977849e+000	3.751778e+000
6.160578069206932e-006	-4.976607e+000	3.752109e+000
6.423352630748795e-006	-4.974571e+000	3.752273e+000
6.686127192290659e-006	-4.972450e+000	3.752112e+000
6.948901753832523e-006	-4.970244e+000	3.751626e+000
7.211676315374387e-006	-4.967953e+000	3.750815e+000
7.474450876916250e-006	-4.965578e+000	3.749680e+000
7.737225438458114e-006	-4.963118e+000	3.748220e+000
7.999999999999978e-006	-4.960574e+000	3.746435e+000
9.053634807718730e-006	-4.949523e+000	3.735682e+000
1.000000000000003e-005	-4.938442e+000	3.721318e+000
1.106725691873869e-005	-4.924636e+000	3.699642e+000
1.135566148120253e-005	-4.920667e+000	3.692772e+000
1.164406604366637e-005	-4.916597e+000	3.685484e+000
1.193247060613020e-005	-4.912427e+000	3.677778e+000
1.222087516859404e-005	-4.908156e+000	3.669653e+000
1.250927973105788e-005	-4.903784e+000	3.661109e+000
1.279768429352171e-005	-4.899312e+000	3.652147e+000
1.308608885598555e-005	-4.894739e+000	3.642767e+000
1.406754992841876e-005	-4.878424e+000	3.607569e+000
1.443007813273517e-005	-4.872104e+000	3.593316e+000
1.479260633705158e-005	-4.865626e+000	3.578383e+000
1.515513454136799e-005	-4.858991e+000	3.562772e+000
1.551766274568440e-005	-4.852198e+000	3.546482e+000
1.588019095000081e-005	-4.845248e+000	3.529512e+000
1.624271915431722e-005	-4.838140e+000	3.511864e+000
1.660524735863363e-005	-4.830875e+000	3.493536e+000
1.706792559813238e-005	-4.821377e+000	3.469411e+000
1.734393622697060e-005	-4.815589e+000	3.454380e+000
1.761994685580882e-005	-4.809710e+000	3.438982e+000
1.789595748464704e-005	-4.803742e+000	3.423219e+000
1.817196811348526e-005	-4.797683e+000	3.407089e+000
1.844797874232348e-005	-4.791534e+000	3.390593e+000
1.872398937116170e-005	-4.785295e+000	3.373730e+000
1.899999999999992e-005	-4.778965e+000	3.356501e+000
2.006838805824053e-005	-4.753620e+000	3.286190e+000
2.099999999999997e-005	-4.730427e+000	3.220483e+000
2.199999999999988e-005	-4.704404e+000	3.145452e+000
2.300000000000002e-005	-4.677220e+000	3.065894e+000
2.399999999999993e-005	-4.648882e+000	2.981975e+000
2.508824663408809e-005	-4.616741e+000	2.885855e+000
2.599999999999998e-005	-4.588773e+000	2.801692e+000
2.699999999999990e-005	-4.557016e+000	2.705699e+000
2.800000000000003e-005	-4.524135e+000	2.606071e+000
2.899999999999995e-005	-4.490138e+000	2.503014e+000
2.929857971165575e-005	-4.479771e+000	2.471579e+000
2.959715942331155e-005	-4.469307e+000	2.439887e+000
2.989573913496735e-005	-4.458744e+000	2.407940e+000
3.019431884662316e-005	-4.448083e+000	2.375736e+000
3.049289855827896e-005	-4.437325e+000	2.343275e+000
3.079147826993476e-005	-4.426468e+000	2.310559e+000
3.109005798159056e-005	-4.415514e+000	2.277586e+000
3.137104835373269e-005	-4.405116e+000	2.246308e+000
3.165203872587482e-005	-4.394633e+000	2.214843e+000
3.193302909801695e-005	-4.384065e+000	2.183192e+000
3.221401947015908e-005	-4.373411e+000	2.151356e+000
3.249500984230122e-005	-4.362672e+000	2.119333e+000
3.277600021444334e-005	-4.351848e+000	2.087124e+000
3.305699058658547e-005	-4.340938e+000	2.054730e+000
3.362027764564468e-005	-4.318810e+000	1.989138e+000
3.418356470470388e-005	-4.296349e+000	1.923040e+000
3.474685176376309e-005	-4.273554e+000	1.856435e+000
3.531013882282230e-005	-4.250425e+000	1.789323e+000
3.587342588188151e-005	-4.226963e+000	1.721705e+000
3.643671294094071e-005	-4.203166e+000	1.653580e+000
3.699999999999992e-005	-4.179037e+000	1.584948e+000
3.742857142857135e-005	-4.160460e+000	1.532531e+000
3.785714285714277e-005	-4.141697e+000	1.480008e+000
3.828571428571420e-005	-4.122747e+000	1.427379e+000
3.871428571428562e-005	-4.103611e+000	1.374645e+000
3.914285714285704e-005	-4.084289e+000	1.321805e+000
3.957142857142847e-005	-4.064780e+000	1.268860e+000
3.999999999999989e-005	-4.045085e+000	1.215809e+000
4.029425901662369e-005	-4.031457e+000	1.179386e+000
4.058851803324748e-005	-4.017743e+000	1.142980e+000
4.088277704987127e-005	-4.003944e+000	1.106588e+000
4.117703606649506e-005	-3.990060e+000	1.070213e+000
4.147129508311886e-005	-3.976090e+000	1.033853e+000
4.176555409974266e-005	-3.962035e+000	9.975081e-001
4.205981311636645e-005	-3.947894e+000	9.611791e-001
4.300000000000007e-005	-3.902152e+000	8.454925e-001
4.328571428571433e-005	-3.888082e+000	8.104547e-001
4.357142857142859e-005	-3.873934e+000	7.755022e-001
4.385714285714285e-005	-3.859708e+000	7.406349e-001
4.414285714285712e-005	-3.845405e+000	7.058530e-001
4.442857142857138e-005	-3.831024e+000	6.711563e-001
4.471428571428564e-005	-3.816566e+000	6.365449e-001
4.499999999999990e-005	-3.802030e+000	6.020188e-001
4.600000000000003e-005	-3.750555e+000	4.822049e-001
4.699999999999995e-005	-3.698155e+000	3.640733e-001
4.799999999999987e-005	-3.644843e+000	2.479071e-001
4.829714285714272e-005	-3.628827e+000	2.138102e-001
4.859428571428558e-005	-3.612733e+000	1.799323e-001
4.889142857142844e-005	-3.596560e+000	1.462735e-001
4.918857142857130e-005	-3.580309e+000	1.128337e-001
4.948571428571416e-005	-3.563980e+000	7.961291e-002
4.978285714285702e-005	-3.547573e+000	4.661117e-002
5.007999999999987e-005	-3.531088e+000	1.382847e-002
5.023999999999979e-005	-3.522180e+000	-3.675291e-003
5.055999999999984e-005	-3.504297e+000	-3.845599e-002
5.100000000000005e-005	-3.479564e+000	-8.598148e-002
5.115428571428575e-005	-3.470852e+000	-1.024344e-001
5.130857142857144e-005	-3.462119e+000	-1.188231e-001
5.146285714285714e-005	-3.453366e+000	-1.351476e-001
5.161714285714283e-005	-3.444593e+000	-1.514079e-001
5.177142857142853e-005	-3.435800e+000	-1.676040e-001
5.192571428571422e-005	-3.426986e+000	-1.837360e-001
5.207999999999992e-005	-3.418153e+000	-1.998038e-001
5.235428571428565e-005	-3.402398e+000	-2.280987e-001
5.262857142857138e-005	-3.386581e+000	-2.561346e-001
5.290285714285710e-005	-3.370702e+000	-2.839115e-001
5.317714285714283e-005	-3.354760e+000	-3.114293e-001
5.345142857142856e-005	-3.338755e+000	-3.386881e-001
5.372571428571429e-005	-3.322689e+000	-3.656879e-001
5.400000000000001e-005	-3.306559e+000	-3.924287e-001
5.436571428568434e-005	-3.284957e+000	-4.276128e-001
5.473142857136867e-005	-3.263249e+000	-4.622484e-001
5.509714285705299e-005	-3.241434e+000	-4.963354e-001
5.546285714273732e-005	-3.219512e+000	-5.298739e-001
5.582857142842165e-005	-3.197484e+000	-5.628638e-001
5.619428571410598e-005	-3.175349e+000	-5.953052e-001
5.655999999979030e-005	-3.153108e+000	-6.271981e-001
5.719199999992819e-005	-3.114430e+000	-6.811002e-001
5.799999999999989e-005	-3.064535e+000	-7.473383e-001
5.842857142857135e-005	-3.037866e+000	-7.812395e-001
5.885714285714280e-005	-3.011063e+000	-8.142733e-001
5.928571428571425e-005	-2.984125e+000	-8.464399e-001
5.971428571428571e-005	-2.957052e+000	-8.777391e-001
6.014285714285717e-005	-2.929845e+000	-9.081711e-001
6.057142857142862e-005	-2.902503e+000	-9.377357e-001
6.100000000000007e-005	-2.875026e+000	-9.664330e-001
6.128571428571434e-005	-2.856637e+000	-9.849831e-001
6.157142857142860e-005	-2.838192e+000	-1.003129e+000
6.185714285714286e-005	-2.819689e+000	-1.020872e+000
6.214285714285711e-005	-2.801130e+000	-1.038211e+000
6.242857142857138e-005	-2.782515e+000	-1.055146e+000
6.271428571428564e-005	-2.763843e+000	-1.071677e+000
6.299999999999991e-005	-2.745114e+000	-1.087805e+000
6.400000000000004e-005	-2.679134e+000	-1.140750e+000
6.499999999999995e-005	-2.612493e+000	-1.188417e+000
6.599999999999987e-005	-2.545207e+000	-1.230757e+000
6.615202726281698e-005	-2.534922e+000	-1.236645e+000
6.630405452563408e-005	-2.524623e+000	-1.242434e+000
6.645608178845119e-005	-2.514310e+000	-1.248124e+000
6.660810905126828e-005	-2.503982e+000	-1.253713e+000
6.676013631408539e-005	-2.493640e+000	-1.259203e+000
6.691216357690250e-005	-2.483284e+000	-1.264593e+000
6.706419083971960e-005	-2.472913e+000	-1.269883e+000
6.799999999999992e-005	-2.408768e+000	-1.299270e+000
6.900000000000005e-005	-2.339649e+000	-1.325412e+000
6.999999999999997e-005	-2.269953e+000	-1.346154e+000
7.099999999999988e-005	-2.199696e+000	-1.361504e+000
7.200000000000002e-005	-2.128896e+000	-1.371526e+000
7.218458006151919e-005	-2.115770e+000	-1.372779e+000
7.236916012303836e-005	-2.102626e+000	-1.373855e+000
7.255374018455754e-005	-2.089465e+000	-1.374752e+000
7.273832024607669e-005	-2.076286e+000	-1.375471e+000
7.292290030759587e-005	-2.063089e+000	-1.376013e+000
7.310748036911504e-005	-2.049876e+000	-1.376377e+000
7.329206043063421e-005	-2.036644e+000	-1.376563e+000
7.407788278150250e-005	-1.980124e+000	-1.375543e+000
7.423631648066013e-005	-1.968692e+000	-1.374893e+000
7.439475017981777e-005	-1.957248e+000	-1.374130e+000
7.455318387897540e-005	-1.945791e+000	-1.373254e+000
7.471161757813304e-005	-1.934323e+000	-1.372265e+000
7.487005127729068e-005	-1.922843e+000	-1.371163e+000
7.502848497644831e-005	-1.911350e+000	-1.369948e+000
7.518691867560595e-005	-1.899846e+000	-1.368619e+000
7.545732343169918e-005	-1.880183e+000	-1.365982e+000
7.572772818779242e-005	-1.860488e+000	-1.362995e+000
7.599813294388565e-005	-1.840759e+000	-1.359659e+000
7.626853769997887e-005	-1.820997e+000	-1.355973e+000
