time	V(vin)	V(vout)
0.000000000000000e+000	4.045085e+000	-2.798970e+000
4.704797628873696e-007	4.066697e+000	-2.801731e+000
9.409595257747392e-007	4.088083e+000	-2.804405e+000
1.411439288662109e-006	4.109245e+000	-2.806995e+000
1.881919051549478e-006	4.130182e+000	-2.809499e+000
2.352398814436848e-006	4.150894e+000	-2.811918e+000
2.822878577324218e-006	4.171380e+000	-2.814251e+000
3.293358340211586e-006	4.191642e+000	-2.816499e+000
4.074787696152623e-006	4.224784e+000	-2.820042e+000
4.349818025273667e-006	4.236298e+000	-2.821227e+000
4.624848354394711e-006	4.247732e+000	-2.822382e+000
4.899878683515754e-006	4.259087e+000	-2.823507e+000
5.174909012636798e-006	4.270362e+000	-2.824604e+000
5.449939341757842e-006	4.281558e+000	-2.825671e+000
5.724969670878886e-006	4.292674e+000	-2.826709e+000
5.999999999999929e-006	4.303710e+000	-2.827717e+000
6.294100152954449e-006	4.315423e+000	-2.828755e+000
6.588200305908968e-006	4.327043e+000	-2.829761e+000
6.882300458863488e-006	4.338570e+000	-2.830734e+000
7.176400611818008e-006	4.350005e+000	-2.831675e+000
7.470500764772528e-006	4.361347e+000	-2.832583e+000
7.764600917727047e-006	4.372596e+000	-2.833459e+000
8.058701070681566e-006	4.383753e+000	-2.834302e+000
8.999999999999894e-006	4.418828e+000	-2.836776e+000
1.000000000000003e-005	4.455033e+000	-2.839047e+000
1.026664443850566e-005	4.464502e+000	-2.839590e+000
1.053328887701130e-005	4.473892e+000	-2.840111e+000
1.079993331551693e-005	4.483203e+000	-2.840608e+000
1.106657775402257e-005	4.492436e+000	-2.841082e+000
1.133322219252820e-005	4.501590e+000	-2.841533e+000
1.159986663103384e-005	4.510665e+000	-2.841962e+000
1.186651106953947e-005	4.519661e+000	-2.842367e+000
1.227728354225282e-005	4.533365e+000	-2.842947e+000
1.299999999999999e-005	4.557016e+000	-2.843856e+000
1.399999999999991e-005	4.588773e+000	-2.844867e+000
1.500000000000004e-005	4.619398e+000	-2.845630e+000
1.599999999999996e-005	4.648882e+000	-2.846176e+000
