time	V(vin)	V(vout)	V(n004)
0.000000000000000e+000	5.000000e+000	-1.205268e+000	1.303409e-005
9.999999960041972e-013	5.000000e+000	-1.205268e+000	1.303409e-005
2.999999988012592e-012	5.000000e+000	-1.205268e+000	1.303409e-005
6.999999972029380e-012	5.000000e+000	-1.205268e+000	1.303409e-005
9.999999960041972e-012	5.000000e+000	-1.205268e+000	1.303409e-005
1.016867276146249e-011	5.000000e+000	-1.205268e+000	1.303409e-005
1.050601793062267e-011	5.000000e+000	-1.205268e+000	1.303409e-005
1.118070870262389e-011	5.000000e+000	-1.205268e+000	1.303409e-005
1.253009024662632e-011	5.000000e+000	-1.205268e+000	1.303409e-005
1.522885290095033e-011	5.000000e+000	-1.205268e+000	1.303409e-005
2.062637864327921e-011	5.000000e+000	-1.205268e+000	1.303409e-005
3.142142969425610e-011	5.000000e+000	-1.205269e+000	1.303410e-005
4.603284507048722e-011	5.000000e+000	-1.205269e+000	1.303413e-005
6.054744509584320e-011	5.000000e+000	-1.205269e+000	1.303423e-005
7.727138633811803e-011	5.000000e+000	-1.205269e+000	1.303459e-005
9.882897538532331e-011	5.000000e+000	-1.205269e+000	1.303558e-005
1.133306235315268e-010	5.000000e+000	-1.205269e+000	1.303678e-005
1.238118860907855e-010	5.000000e+000	-1.205269e+000	1.303815e-005
1.344003276726458e-010	5.000000e+000	-1.205269e+000	1.304012e-005
1.464738269910115e-010	5.000000e+000	-1.205269e+000	1.304328e-005
1.618428993252485e-010	5.000000e+000	-1.205270e+000	1.304900e-005
1.800900492100743e-010	5.000000e+000	-1.205270e+000	1.305837e-005
1.934702979419778e-010	5.000000e+000	-1.205270e+000	1.306758e-005
2.065511628922268e-010	5.000000e+000	-1.205270e+000	1.307934e-005
2.222577217755872e-010	5.000000e+000	-1.205270e+000	1.309660e-005
2.297159389791359e-010	5.000000e+000	-1.205270e+000	1.310629e-005
2.374977645103193e-010	5.000000e+000	-1.205270e+000	1.311799e-005
2.477149279971058e-010	5.000000e+000	-1.205270e+000	1.313537e-005
2.577545056732522e-010	5.000000e+000	-1.205270e+000	1.315539e-005
2.778336614592258e-010	5.000000e+000	-1.205271e+000	1.320402e-005
3.020497346163664e-010	5.000000e+000	-1.205271e+000	1.327603e-005
3.260395070245337e-010	5.000000e+000	-1.205271e+000	1.336399e-005
3.564995759534895e-010	5.000000e+000	-1.205271e+000	1.349659e-005
3.931042292897036e-010	5.000000e+000	-1.205271e+000	1.367096e-005
4.351092997186001e-010	5.000000e+000	-1.205272e+000	1.386040e-005
4.771206745662893e-010	5.000000e+000	-1.205272e+000	1.397662e-005
