time	V(n004)
0.000000000000000e+000	1.431030e-005
9.999999960041972e-013	1.431030e-005
2.999999988012592e-012	1.431030e-005
6.999999972029380e-012	1.431030e-005
9.999999960041972e-012	1.431030e-005
1.016867276146249e-011	1.431030e-005
1.050601793062267e-011	1.431030e-005
1.118070870262389e-011	1.431030e-005
1.253009024662632e-011	1.431030e-005
1.522885290095033e-011	1.431030e-005
2.062637864327921e-011	1.431030e-005
3.142142969425610e-011	1.431031e-005
4.617072002499612e-011	1.431034e-005
6.074424340266060e-011	1.431044e-005
7.761575410158983e-011	1.431080e-005
9.920327970550091e-011	1.431179e-005
1.135996977909282e-010	1.431297e-005
1.240115974320000e-010	1.431431e-005
1.344384148276034e-010	1.431622e-005
1.459730179613483e-010	1.431919e-005
1.620450709380328e-010	1.432572e-005
1.941891768914017e-010	1.434496e-005
2.086536815722184e-010	1.435687e-005
2.179047471975726e-010	1.436665e-005
2.263073903621682e-010	1.437698e-005
2.339639744962374e-010	1.438767e-005
2.432252489692477e-010	1.440223e-005
2.519373425158289e-010	1.441805e-005
2.693615300426722e-010	1.445577e-005
2.916834139672642e-010	1.451442e-005
3.172951810147262e-010	1.459556e-005
3.430994533620835e-010	1.468949e-005
3.759223288560265e-010	1.481301e-005
4.151967606530471e-010	1.493443e-005
4.567047833664573e-010	1.496224e-005
5.123850913869854e-010	1.468195e-005
5.814634017331510e-010	1.347507e-005
6.783848929652059e-010	9.390625e-006
8.066349294240383e-010	-1.592948e-006
9.693388825990357e-010	-2.557177e-005
1.125332673834051e-009	-6.032941e-005
1.284504764272748e-009	-1.104113e-004
1.523121415884093e-009	-2.106881e-004
1.793946219873221e-009	-3.598809e-004
2.154771978468001e-009	-6.157192e-004
2.543302239383510e-009	-9.640240e-004
3.035523966302828e-009	-1.511086e-003
3.554551151682683e-009	-2.218996e-003
4.265443981094769e-009	-3.403554e-003
5.130433868537343e-009	-5.173289e-003
6.392116337974874e-009	-8.378944e-003
8.114113512168453e-009	-1.380133e-002
1.017415392906562e-008	-2.184707e-002
1.303241969679778e-008	-3.565212e-002
1.703375756808082e-008	-5.939956e-002
2.267767498396675e-008	-1.002007e-001
3.063988189078507e-008	-1.688739e-001
4.113485514841905e-008	-2.727259e-001
5.054537574079865e-008	-3.756018e-001
6.103328922335907e-008	-4.981553e-001
7.065874886667128e-008	-6.155756e-001
8.548036510612825e-008	-8.018235e-001
1.002223808865485e-007	-9.905770e-001
1.162862317658116e-007	-1.198745e+000
1.312701190972314e-007	-1.393195e+000
1.484255764813355e-007	-1.610993e+000
1.636095472903193e-007	-1.792759e+000
1.733593110557485e-007	-1.897462e+000
1.839639887269047e-007	-1.995096e+000
1.954860002406286e-007	-2.082379e+000
2.074633647813386e-007	-2.152499e+000
2.200465586566641e-007	-2.205390e+000
2.329472023289078e-007	-2.240944e+000
2.462243287645188e-007	-2.261991e+000
2.596227170843443e-007	-2.271885e+000
2.707071538351862e-007	-2.273978e+000
2.792404225388130e-007	-2.272750e+000
2.884814366533282e-007	-2.269695e+000
2.990244691229542e-007	-2.265163e+000
3.106002328750156e-007	-2.259699e+000
3.228215424235827e-007	-2.254014e+000
3.360752386183732e-007	-2.248428e+000
3.502339596225985e-007	-2.243405e+000
3.657002864152284e-007	-2.239093e+000
4.029876446310504e-007	-2.232778e+000
4.265038013855776e-007	-2.230535e+000
4.413430074881944e-007	-2.229505e+000
4.555439931793956e-007	-2.228700e+000
4.730573871939217e-007	-2.227770e+000
4.905039207572445e-007	-2.226841e+000
5.677532083463166e-007	-2.222219e+000
6.674752989618490e-007	-2.215614e+000
9.375153379432254e-007	-2.197631e+000
1.000000000000133e-006	-2.193473e+000
1.025529922965302e-006	-2.191774e+000
1.076589768895207e-006	-2.188375e+000
1.999999999999832e-006	-2.126821e+000
4.000000000000097e-006	-1.992919e+000
4.999999999999796e-006	-1.925683e+000
5.999999999999929e-006	-1.858263e+000
7.000000000000062e-006	-1.790666e+000
8.063999999999901e-006	-1.718554e+000
9.079999999999418e-006	-1.649523e+000
1.000000000000003e-005	-1.586874e+000
1.017714285714790e-005	-1.574795e+000
1.035428571429578e-005	-1.562711e+000
1.053142857144366e-005	-1.550623e+000
1.070857142859153e-005	-1.538531e+000
1.088571428573941e-005	-1.526434e+000
1.106285714288729e-005	-1.514333e+000
1.124000000003516e-005	-1.502227e+000
1.200000999999982e-005	-1.450238e+000
1.200001021039402e-005	-1.450238e+000
1.200001063118199e-005	-1.450238e+000
1.200001147275837e-005	-1.450238e+000
1.200001315591068e-005	-1.450238e+000
1.200001652221531e-005	-1.450238e+000
1.200002000000021e-005	-1.450237e+000
1.200002031322232e-005	-1.450237e+000
1.200002093966653e-005	-1.450237e+000
1.200002219255494e-005	-1.450237e+000
1.200002469833178e-005	-1.450237e+000
1.200002970988502e-005	-1.450237e+000
1.200003973299193e-005	-1.450236e+000
1.200005977920532e-005	-1.450235e+000
1.200009679353051e-005	-1.450232e+000
1.200013052694718e-005	-1.450230e+000
1.200017734486305e-005	-1.450227e+000
1.200022810243480e-005	-1.450223e+000
1.200025971573749e-005	-1.450221e+000
1.200030358624151e-005	-1.450219e+000
1.200034650888915e-005	-1.450216e+000
1.200036119486814e-005	-1.450215e+000
1.200040635988180e-005	-1.450213e+000
1.200044819325927e-005	-1.450211e+000
1.200049566839204e-005	-1.450210e+000
1.200059061865714e-005	-1.450208e+000
1.200060395388069e-005	-1.450207e+000
1.200063062432779e-005	-1.450207e+000
1.200068396522199e-005	-1.450208e+000
1.200079064701039e-005	-1.450213e+000
1.200100401058720e-005	-1.450236e+000
